5663-2022-05-22_Solothurner_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;58.5
-;;;Strebel Joel;***;;;;;;;8.75
+;4;8.75;Stoll Simon;**;9;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Stegmüller Klemens;*;8;56.0;4;19.0;-1;0.25;10.0
+;3;28.75;Mangold Michael;**;4;57.0;1;30.0;-2;1.25;9.75
+;2;38.5;Hügli Kaj;**;5;56.75;3;38.25;1;-0.25;10.0
+;1;48.5;Kropf Marcel;**;3;57.25;1;48.5;0;0.0;10.0

2a;Schmid David;***;;;;;;;;;57.75
+;;;Kropf Marcel;**;;;;;;;10.0
-;1;10.0;Odermatt Adrian;**;4;57.0;2;9.75;1;-0.25;8.75
+;5;18.75;Stüdeli Thomas;**;8;56.0;4;19.0;-1;0.25;10.0
+;3;28.75;Beer Peter;*;4;57.0;3;28.75;0;0.0;10.0
-;1;38.75;Bucher Christian;**;3;57.25;3;38.25;2;-0.5;9.0
+;3;47.75;Burren Patrick;*;9;55.75;5;47.25;2;-0.5;10.0

3a;Voggensperger Lars;*;;;;;;;;;57.25
-;;;Leuthard Reto;**;;;;;;;9.0
+;3;9.0;Rüegger Aaron;*;18;53.5;2;9.75;-1;0.75;9.75
-;5;18.75;Döbeli Andreas;***;3;57.25;6;18.5;1;-0.25;9.0
+;7;27.75;Schwegler Dominik;;9;55.75;3;28.75;-4;1.0;9.75
+;5;37.5;Vogt Sandro (2004);;15;54.25;6;37.25;1;-0.25;9.75
+;5;47.25;Anderegg David;*;11;55.25;7;46.75;2;-0.5;10.0

3b;Bucher Christian;**;;;;;;;;;57.25
o;;;Räbmatter Patrick;***;;;;;;;8.5
+;5;8.5;Anderegg David;*;11;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Nussbaumer Dominik;;20;35.75;5;18.75;-1;0.25;9.75
+;5;28.25;Strebel Joel;***;5;56.75;4;28.5;-1;0.25;10.0
-;3;38.25;Schmid David;***;2;57.75;1;38.75;-2;0.5;9.0
+;5;47.25;Joho Pascal (2004);;12;55.0;8;46.5;3;-0.75;10.0

3c;Odermatt Jonas (2004);;;;;;;;;;57.25
+;;;Burren Dominik;;;;;;;;10.0
+;1;10.0;Widmer David;**;14;54.5;3;9.0;2;-1.0;9.75
-;2;19.75;Stoll Simon;**;9;55.75;6;18.5;4;-1.25;8.75
-;4;28.5;Roschi Ruedi;**;7;56.25;6;28.0;2;-0.5;8.75
+;6;37.25;Kirchmeier Christof;;12;55.0;8;36.75;2;-0.5;10.0
+;5;47.25;Schwegler Dominik;;9;55.75;5;47.25;0;0.0;10.0

3d;Döbeli Andreas;***;;;;;;;;;57.25
o;;;Roschi Ruedi;**;;;;;;;8.5
+;5;8.5;Frank Marius (2004);*;6;56.5;2;9.75;-3;1.25;10.0
-;6;18.5;Voggensperger Lars;*;3;57.25;5;18.75;-1;0.25;9.0
+;8;27.5;Studer Remo;*;11;55.25;4;28.5;-4;1.0;10.0
