5672-2022-05-01_Thurgauer_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;59.0
+;;;Schurtenberger Sven;***;;;;;;;10.0
-;1;10.0;Schlegel Werner;**;5;57.25;2;9.75;1;-0.25;9.0
+;4;19.0;Stöckli Damian;*;12;55.5;2;19.75;-2;0.75;10.0
+;2;29.0;Stöckli Stefan;***;7;56.75;4;28.5;2;-0.5;10.0
+;2;39.0;Schmid Dominik;**;6;57.0;4;38.5;2;-0.5;10.0
+;1;49.0;Schlegel Werner;**;5;57.25;2;48.5;1;-0.5;10.0

2a;Voggensperger Janic;**;;;;;;;;;58.25
+;;;Schnurrenberger Roman;**;;;;;;;10.0
+;1;10.0;Berger René;**;14;55.0;2;9.75;1;-0.25;10.0
+;1;20.0;Bless Michael;***;5;57.25;4;19.0;3;-1.0;10.0
+;1;30.0;Bürli Roger;**;11;55.75;3;28.75;2;-1.25;9.75
o;1;39.75;Schlegel Werner;**;5;57.25;4;38.5;3;-1.25;8.5
+;3;48.25;Bernold Michael;*;7;56.75;3;48.25;0;0.0;10.0

3a;Schneider Mario;**;;;;;;;;;58.0
+;;;von Büren Stephan;**;;;;;;;10.0
+;1;10.0;Brülisauer Dominik;;13;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Bürli Roger;**;11;55.75;4;19.0;2;-0.75;8.5
+;5;28.25;Blaser Christian;**;8;56.5;5;28.25;0;0.0;10.0
+;5;38.25;Hari Michi;;17;54.25;9;37.0;4;-1.25;9.75
+;4;48.0;Fuster Sepp;*;12;55.5;8;47.0;4;-1.0;10.0

3b;Schurtenberger Sven;***;;;;;;;;;58.0
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Wey Nicola;*;7;56.75;1;10.0;-4;1.5;9.75
+;7;18.25;Fuster Sepp;*;12;55.5;5;18.75;-2;0.5;10.0
+;5;28.25;Wetter Silvan;*;7;56.75;4;28.5;-1;0.25;10.0
+;5;38.25;Schneider Domenic;***;6;57.0;3;38.75;-2;0.5;9.75
+;4;48.0;Oettli Marco;**;5;57.25;2;48.5;-2;0.5;10.0

4a;Ott Damian;**;;;;;;;;;57.75
-;;;Käser Remo;***;;;;;;;8.75
+;4;8.75;Blaser Niklas;*;8;56.5;2;9.75;-2;1.0;9.75
+;6;18.5;Oettli Silvio;**;7;56.75;1;20.0;-5;1.5;10.0
+;4;28.5;Dändliker Shane;**;6;57.0;4;28.5;0;0.0;9.75
+;5;38.25;Hugelshofer Lars;*;7;56.75;4;38.5;-1;0.25;9.75
+;4;48.0;Schläpfer Markus;**;7;56.75;3;48.25;-1;0.25;9.75

5a;Bless Michael;***;;;;;;;;;57.25
-;;;Bürli Roger;**;;;;;;;9.0
+;3;9.0;Steiner Michael;**;8;56.5;2;9.75;-1;0.75;10.0
o;4;19.0;Voggensperger Janic;**;2;58.25;1;20.0;-3;1.0;8.5
+;7;27.5;Hänni Marc;;14;55.0;6;28.0;-1;0.5;10.0
+;7;37.5;Ulmann Fabian;*;13;55.25;9;37.0;2;-0.5;10.0
+;6;47.5;Ammann Rico;*;7;56.75;3;48.25;-3;0.75;9.75

5b;Kindlimann Fabian;***;;;;;;;;;57.25
-;;;Oettli Marco;**;;;;;;;8.75
+;4;8.75;Bernold Michael;*;7;56.75;1;10.0;-3;1.25;10.0
o;5;18.75;Koch Thomas;*;11;55.75;6;18.5;1;-0.25;8.75
+;7;27.5;Rüegger Remo;;13;55.25;5;28.25;-2;0.75;10.0
+;7;37.5;Steiner Michael;**;8;56.5;6;38.0;-1;0.5;10.0
+;6;47.5;Oettli Silvio;**;7;56.75;3;48.25;-3;0.75;9.75

5c;Oettli Marco;**;;;;;;;;;57.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Rüegg Patrick;;13;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Ulmann Fabian;*;13;55.25;6;18.5;1;-0.25;9.75
+;4;28.5;Bordos Ion;;18;54.0;5;28.25;1;-0.25;10.0
+;4;38.5;Koch Thomas;*;11;55.75;4;38.5;0;0.0;10.0
o;2;48.5;Schurtenberger Sven;***;3;58.0;4;48.0;2;-0.5;8.75

5d;Schlegel Werner;**;;;;;;;;;57.25
+;;;Poltera Andrin;**;;;;;;;9.75
-;2;9.75;Giger Samuel;***;1;59.0;1;10.0;-1;0.25;9.0
+;5;18.75;Keller Manuel;*;12;55.5;6;18.5;1;-0.25;10.0
+;3;28.75;Käser Remo;***;8;56.5;4;28.5;1;-0.25;9.75
