                                      Schlussrangliste                                                                        Fr. 2.-
                                      16. Schwägalp-Schwinget
                                      Schwägalp AR, 16. August 2015

  1 a      * 58.25 Bösch Daniel, S ***, Zuzwil SG                                             SG     +-++++
    b              Glarner Matthias, S ***, Meiringen                                         BKSV   -+++++
  2          57.50 Siegenthaler Matthias, S ***, Thun                                         BKSV   0+++++
  3          57.25 Stucki Christian, S ***, Lyss                                              BKSV   +--+++
  4 a      * 57.00 Gnägi Florian, T ***, Aarberg                                              BKSV   ++++-0
    b              Giger Samuel, S **, Ottoberg                                               TG     +-++-+
    c              Anderegg Simon, S ***, Unterbach BE                                        BKSV   +++--+
    d              Zaugg Thomas, S ***, Schangnau                                             BKSV   +-++0+
  5          56.75 Kämpf Bernhard, S ***, Sigriswil                                           BKSV   0+++-+
  6 a        56.50 Käser Remo, S **, Alchenstorf                                              BKSV   -+++-+
    b              Fässler Andreas, S **, Appenzell                                           AP     ++0+0+
  7 a        56.25 Orlik Armon, S **, Maienfeld                                               GR     -++--+
    b              Lengacher Jonas, T **, Aeschiried                                          BKSV   --+++0
  8 a        56.00 Zenger Niklaus, S ***, Habkern                                             BKSV   -0-+++
    b              Bloch Dominic, T **, Vinelz                                                BKSV   0+--++
ohne Kranz
 9 a           55.75 Gerber Christian, S **, Röthenbach im Emmental                           BKSV   ++0+--
   b                 Gapany Benjamin, S **, Marsens                                           ARLS   0+-+-+
   c                 Zwyssig Raphael, S ***, Gais                                             AP     0++0-+
   d                 Schenk Patrick, S **, Wasen im Emmental                                  BKSV   +-+0+0
   e                 Roth Dominik, S *, Biberist                                              BKSV   +-0+0+
   f                 Moser Steven, S **, Brünisried                                           ARLS   +-+0+0
   g                 Aeschbacher Matthias, S **, Hasle-Rüegsau                                BKSV   0++0-+
   h                 Rychen Roger, S **, Mollis                                               GL     +00++0
10 a           55.50 Notz Beni, T ***, Güttingen                                              TG     -+++-0
   b                 Riget Tobias, S **, Schänis                                              SG     +0+0+-
   c                 Krähenbühl Tobias, T **, Frauenfeld                                      TG     -+0++0
   d                 Schneider Domenic, S **, Friltschen                                      TG     +0+0+0
   e                 Bühler Ernst, T **, Amriswil                                             TG     0+0+0+
11 a           55.25 Vögeli Sven, T *, Gächlingen                                             SH     -+00++
   b                 Steiner Michael, T **, Amlikon-Bissegg                                   TG     +-00++
   c                 Schläpfer Markus, S **, Niederbüren                                      AP     +00+-+
   d                 Röthlisberger Simon, S *, Leimiswil                                      BKSV   +0++00
   e                 Rhyner Michael, S **, Flawil                                             SG     +00++0
   f                 Schmid Reto, S **, Frutigen                                              BKSV   --+--+
12 a           55.00 Horner Peter, S **, Glarus                                               GL     0++0+-
   b                 Roth Martin, S *, Herisau                                                AP     --+-+0
13 a           54.75 Scherer Christian, S *, St. Gallen                                       SG     +00+0+
   b                 Orlik Curdin, S **, Maienfeld                                            GR     ---+-+
14 a           54.50 Wyss Kilian, S **, Rüderswil                                             BKSV   0++-0-
   b                 Vestner Bruno, T *, Haslen AI                                            AP     -0+0-+
   c                 Schnurrenberger Roman, S **, Sternenberg                                 ZH     00-+-+
   d                 Mathys Simon, S *, Walliswil b. Wangen                                   BKSV   +0+--0
   e                 Fejzaj Naim, S *, Wolfhalden                                             AP     +-00-+
   f                 Büsser Andy, T ***, Flawil                                               SG     --0++0
   g                 Kohler Fredi, S **, Pfäfers                                              SG     0+-+00
15 a           54.25 Nägeli Marco, S *, Maschwanden                                           ZH     ---+0+
   b                 Schneider Mario, S **, Weinfelden                                        TG     ++00-0

* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz          3.15.1.8 ¦ 15.3362   a     © Ranglistenservice Bruno Heller

 Schlussrangliste                                                             16. Schwägalp-Schwinget

16 a           54.00 Peng Mike, T ***, Malix                                                  GR        +0+00-
   b                 Gmür Pirmin, S *, Amden                                                  SG        +0-+00
   c                 Brodard Augustin, S **, La Roche FR                                      ARLS      00-++0
   d                 Leuppi Samir, S **, Winterthur                                           ZH        -+---0
17 a           53.75 Matthey Michael, S **, Nyon                                              ARLS      0++000
   b                 Hersche Martin, S **, Appenzell                                          AP        0++000
   c                 Giger Urs, S *, Gais                                                     AP        0+0+00
18 a           53.50 Eugster Ruedi, S **, Mels                                                SG        +0----
   b                 Burkhalter Stefan, T ***, Homburg                                        TG        0--+-0
19             53.25 Battaglia Ursin, S **, Tumegl/Tomils                                     GR        -+0-00
20 a           53.00 Streuli Martin, T *, Untereggen                                          SG        --0+00
   b                 Rüegg Roman, T *, Walde SG                                               SG        -+0-00
   c                 Nigg Lukas, T **, Attikon                                                ZH        --+000
21             52.75 Geisser Lars, T *, Mörschwil                                             SG        +-0000
22             45.25 Häni William, S **, Neyruz FR                                            ARLS      +0+00                    Unfall
