                        Schlussrangliste                                                                                               Fr. 2.-
                        120. Nordostschweizer Schwingfest
                        Wald ZH, 28. Juni 2015

  1        * 58.50 Rhyner Michael, S **, Flawil                                               SG   0+++++
  2 a        57.75 Giger Samuel, S **, Ottoberg                                               TG   ++0+++
    b              Bösch Daniel, S ***, Zuzwil SG                                             SG   0+++++
    c              Hersche Martin, S **, Appenzell                                            AP   +++--+
  3          57.50 Orlik Armon, S **, Maienfeld                                               GR   ++-+-+
  4 a        57.25 Stucki Christian, S ***, Lyss                                              BKSV ++--++
    b              Forrer Arnold, S ***, Stein SG                                             SG   +-+-++
    c              Krähenbühl Tobias, T **, Frauenfeld                                        TG   +0++-+
    d              Eugster Ruedi, S **, Mels                                                  SG   -+++0+
  5 a      * 57.00 Kuster Marcel, S **, Appenzell                                             AP   +-+++0
    b              Leuppi Samir, S **, Winterthur                                             ZH   +-+-++
    c              Schneider Domenic, S **, Friltschen                                        TG   -++0++
    d              Kohler Fredi, S **, Pfäfers                                                SG   0++++-
    e              Clopath Beat, S ***, Bonaduz                                               GR   0++-++
    f              Büsser Andy, T ***, Flawil                                                 SG   0++-++
    g              Horner Peter, S **, Glarus                                                 GL   ++0+0+
    h              Burkhalter Stefan, T ***, Homburg                                          TG   +0++0+
  6 a        56.75 Wickli Beat, S *, Ennetbühl                                                SG   +-+++0                        1. Teilverbandskranz
    b              Thoenen Henryc, T **, Basel                                                NWSV -++0++
    c              Scheuber Lutz, S **, Büren NW                                              ISV  ++++0-
    d              Riget Tobias, S **, Schänis                                                SG   0+++0+
  7 a        56.50 Battaglia Ursin, S **, Tumegl/Tomils                                       GR   +-+++-
    b              Rychen Roger, S **, Mollis                                                 GL   +0++0+
    c              Knechtle Martin, T **, Ganterschwil                                        SG   ++0++0
    d              Fässler Andreas, S **, Appenzell                                           AP   -++-+-
  8 a        56.25 Schmid Dominik, S *, Hundwil                                               AP   0++0++                        1. Teilverbandskranz
    b              Schläpfer Markus, S **, Niederbüren                                        AP   -+0++-
ohne Kranz
 9 a           56.00 Kindlimann Fabian, S ***, Wald ZH                                        ZH   --+-++
   b                 Korrodi Paul, S *, Schönenberg ZH                                        ZH   0+0+0+
10 a           55.75 Käser Remo, S **, Alchenstorf                                            BKSV -+++--
   b                 Zbinden Marc, T *, Eschlikon TG                                          TG   -0++-+
   c                 Kammermann Dominik, S, St. Gallen                                        AP   +--++0
   d                 Gwerder Andreas, S **, Hütten                                            ZH   0-+++-
   e                 Bühler Ernst, T **, Amriswil                                             TG   -+-++0
