                                     123. Nordostschweizer Schwingfest (125 Jahre
                  Schlussrangliste                                           NOSV)
                                                             Herisau AR, 24.06.2018

Rang Punkte Resultat Name Vorname                    Wohnort                             Schwingklub                   Status
 1 59.00 S ++++++ Orlik Armon, S ***                 Maienfeld                      GR Unterlandquart                  Kranz
 2 a 58.25 +-++++ Schneider Domenic, S ***           Friltschen                     TG Ottenberg                       Kranz
 2 b 58.25 ++o+++ Rychen Roger, S ***                Mollis                         GL Niederurnen u. Umgebung         Kranz
 3   57.75 o+++++ Hersche Martin, S ***              Appenzell                      AP   Appenzell                     Kranz
 4 a 57.50 +o++++ Roth Martin, S *                   Waldstatt                      AP   Herisau                       Kranz
 4 b 57.50 +--+++ Geisser Lars, T **                 Mörschwil                      SG St. Gallen u. Umgebung          Kranz
 4 c 57.50 o++o++ Wicki Joel, S **                   Sörenberg                      LU   Entlebuch                     Kranz
 5 a 57.25 -+++-+ Leuppi Samir, S **                 Winterthur                     ZH Winterthur                      Kranz
 5 b 57.25 -++-++ Zwyssig Raphael, S ***             Gais                           AP   Gais                          Kranz
 5 c 57.25 o-++++ Krähenbühl Tobias, T ***           Wetzikon TG                    TG Unterthurgau                    Kranz
 6 a 57.00 S +++o+o Bless Michael, S ***             Gais                           AP Gais                            Kranz
 6 b 57.00 -+++-+ Bösch Daniel, S ***                Flawil                         SG Wil                             Kranz
 6 c 57.00 ++o-++ Dändliker Shane, S *               Feldbach                       ZH Zürichsee Rechtes Ufer          Kranz
 7 a 56.75 +-++o+ Aeschbacher Matthias, S **         Rüegsauschachen                ET   Sumiswald                     Kranz
 7 b 56.75 +++o-+ Schneider Mario, S **              Rothenhausen                   TG Ottenberg                       Kranz
 7 c 56.75 -+o+++ Wenger Kilian, S ***               Horboden                       BO Niedersimmental                 Kranz
 7 d 56.75 o++o++ Battaglia Ursin, S **              Almens                         GR Heinzenberg                     Kranz
 7 e 56.75 +o++o+ Ott Damian (2000), S *             Dreien                         SG Wil                             Kranz
 8 a 56.50 -+++o+ Kuster Marcel, S ***               Appenzell                      AP   Gais                          Kranz
 8 b 56.50 ++o-++ Rhyner Michael, S **               Nassen                         SG Flawil                          Kranz
 8 c 56.50 +o+o++ Dumelin David, T *                 Hüttlingen                     TG Unterthurgau                    Kranz
 8 d 56.50 +o++o+ Gmür Pirmin, S **                  Amden                          SG Rapperswil u. Umgebung          Kranz
 8 e 56.50 +o++o+ Herger Matthias, T **              Altdorf UR                     UR Bürglen                         Kranz
 9 a 56.25 +oo+++ Gwerder Andreas, S **              Schönenberg ZH                 ZH Zürichsee Linkes Ufer           Kranz
 9 b 56.25 +o+o++ Steiner Michael, T **              Amlikon-Bissegg                TG Ottenberg                       Kranz
10 a 56.00 ++o+o+ Koch Reto, S *                     Gonten                         AP   Appenzell
10 b 56.00 -+-++o Döbeli Andreas, S *                Sarmenstorf                    AG Freiamt
10 c 56.00 -+o+o+ Haenni Stéphane, S **              Vucherens                      VD Haute-Broye
10 d 56.00 +ooo++ Oertig Dominik, S **               Uznach                         SG Rapperswil u. Umgebung
11 a 55.75 -++o-+ Bühler Hannes, T *                 Amriswil                       TG Oberthurgau
11 b 55.75 +-+-+o Gartmann Mauro, S *                Tschappina                     GR Heinzenberg
11 c 55.75 +o-+-+ Holenstein Christian, S *          Stein SG                       SG Wattwil
11 d 55.75 ++o+o- Burkhalter Stefan, T ***           Homburg                        TG Ottenberg
11 e 55.75 -+oo++ Eugster Ruedi, S **                Quarten                        SG Mels
11 f 55.75 -+o++o Fuster Sepp, S                     Appenzell                      AP   Appenzell
11 g 55.75 o-++o+ Kid Simon, S **                    Buttikon SZ                    SG Rapperswil u. Umgebung
11 h 55.75 o-o+++ Matthey Mickaël, S **              Gingins                        VD Mont-sur-Rolle
11 i 55.75 +-+o+o Schnurrenberger Roman, S **        Sternenberg                    ZH Zürcher Oberland
11 j 55.75 -+o++o Voggensperger Janic, S **          Schönenbuch                    BL   Binningen
