 Schlussrangliste                                                                                                   Fr. 2.-
 Brünigschwinget 2015
 Brünig, 26. Juli 2015

  1            57.75 Kämpf Bernhard, S ***, Sigriswil                                         BO   --++++
  2 a      * 57.25 von Ah Benji, T ***, Giswil                                                ONW -++++-
    b      *       Glarner Matthias, S ***, Meiringen                                         BO   +++0+-
    c                Siegenthaler Matthias, S ***, Thun                                       ET   -++-++
    d                Fankhauser Erich, S ***, Hasle LU                                        LU   -+0+++
  3 a          57.00 Sempach Thomas, S ***, Heimenschwand                                     ET   +++--+
    b                Käser Remo, S **, Alchenstorf                                            OA   -++-++
  4 a          56.75 Bächli Michael, S *, Würenlingen                                         NWSV +--+++                     1. Teilverbandskranz
    b                Alpiger Nick, S **, Staufen                                              NWSV +0-+++
  5 a          56.50 Wenger Kilian, S ***, Horboden                                           BO   -+++0+
    b                Gasser Stefan, S **, Alpnach Dorf                                        ONW ++0+0+
    c                Aeschbacher Matthias, S **, Hasle-Rüegsau                                ET   0++0++
    d                Laimbacher Philipp, S ***, Sattel                                        SZ   -++--+
    e                Gisler Bruno, S ***, Rumisberg                                           NWSV -++-+0
  6 a          56.25 Stalder Remo, S ***, Mümliswil                                           NWSV +--++-
    b                Gnägi Florian, T ***, Aarberg                                            SL   +--++-
    c                Wicki Joel, S **, Sörenberg                                              LU   -+-+0+
  7 a          56.00 Waser Dominik, S *, Alosen                                               ZG   +-+-0+                     1. Teilverbandskranz
    b                Anderegg Simon, S ***, Unterbach BE                                      BO   -++-+0
    c                Lengacher Jonas, T **, Aeschiried                                        BO   +0+0+-
ohne Kranz
 8 a           55.75 Schmid David, S **, Wittnau                                              NWSV -+++--
   b                 Bieri Christoph, S ***, Untersiggenthal                                  NWSV -+++--
   c                 Luginbühl Hanspeter, S **, Aeschiried                                    BO   ++--0+
   d                 Roth Dominik, S *, Biberist                                              SL   0+0+-+
   e                 Räbmatter Patrick, S **, Uerkheim                                        NWSV -++0+0
   f                 Britschgi Melk, S **, Alpnach Dorf                                       ONW +00++-
 9 a           55.50 Schuler Alex, S **, Rothenthurm                                          SZ   0-+++-
   b                 Scheuber Lutz, S **, Büren NW                                            ONW --++0+
   c                 Roschi Ruedi, S **, Thun                                                 BO   -+-++0
   d                 Zaugg Thomas, S ***, Schangnau                                           ET   -+0++0
   e                 Schuler Christian, S ***, Rothenthurm                                    SZ   0++-+0
   f                 Kenel Stefan, S *, Oberarth                                              SZ   +-0+0+
   g                 von Büren Stephan, S *, Zauggenried                                      OA   +0++00
   h                 Röthlisberger Simon, S *, Leimiswil                                      OA   ++000+
10 a           55.25 Stöckli Stefan, S **, Wolhusen                                           LU   +0--++
   b                 Nötzli Bruno, T ***, Pfäffikon SZ                                        SZ   0++0+-
   c                 Studinger Stephan, S **, Däniken SO                                      NWSV +0+00+
   d                 Fankhauser Marco, S **, Hasle LU                                         LU   --+-0+
