                                                                                             11. Schwingertag Laupen
         Schlussrangliste                                                                           Laupen, 16.05.2016


Rang Punkte    Resultat   Name Vorname                         Wohnort                     Schwingklub              Status
  1    59.50 S ++++++     Graber Willy, S ***                  Bolligen               ML   Worblental
  2    57.75 ++o+++       Schenkel Remo, S *                   Worb                   ML   Münsingen
  3    57.00 S o++++o     Schenkel Adrian, S **                Kirchdorf BE           ML   Münsingen
  4    56.75 +o+-++       Riesen Julian, S                     Mamishaus              ML   Schwarzenburg
  5    56.50 +o++o+       Lehmann Ueli, S                      Riggisberg             ML   Schwarzenburg
  6    56.00 o++-+-       Graber Bruno, S **                   Krauchthal             ML   Worblental
  7a   55.75 -++o+-       Zehnder Jürg, S *                    Oberbottigen           ML   Laupen
  7b   55.75 -++oo+       Graber Alfred, S *                   Biglen                 ML   Worblental
  7c   55.75 o++o+-       Zehnder Simon, S                     Oberbottigen           ML   Laupen
  8    55.50 +oo-++       Kramer Dorian (1999)                 Galmiz                 FR   Kerzers/Chiètres
  9a   55.25 ++o-+-       Graber Bänz, S                       Bolligen               ML   Worblental
  9b   55.25 o+-o++       Waeber Marco, S                      Gurmels                ML   Laupen / Laupen
  9c   55.25 +o++oo       Krebs Ueli, S *                      Riggisberg             ML   Schwarzenburg
 10 a  55.00 +oo+o+       Luginbühl Filiph (1998), S           Kirchdorf BE           ML   Münsingen
 10 b  55.00 o++oo+       Roschi Adrian (1999)                 Oberwil im Simmental   BO   Niedersimmental
 10 c  55.00 +oo++o       Zingg Bruno, S                       Moosseedorf            ML   Worblental
 11 a  54.50 -o++o-       Fankhauser Marc, S                   Rüeggisberg            ML   Schwarzenburg
 11 b  54.50 o+o-+o       Widmer Michael, T                    Gurmels                ML   Laupen
 11 c  54.50 oo+-o+       Wälti Peter, S                       Utzigen                ML   Worblental
 12    54.25 +o-+o-       Berger Christian (1999), S           Burgistein             ML   Wattenwil
 13    54.00 +ooo+o       Perler Kevin, S                      Gurmels                ML   Laupen
 14 a  53.75 oo-++o       Burri Flemming                       Kerzers                FR   Kerzers/Chiètres
 14 b  53.75 ++o-oo       Walther Nicolas, S                   Rüeggisberg            ML   Schwarzenburg
 14 c  53.75 ++oooo       Gerber Marco, S                      Boll                   ML   Worblental
 14 d  53.75 o+ooo+       Hofmann Fabian (1998), S             Gümmenen               ML   Laupen
 15    53.00 --+-oo       Holzer Alain, S                      Frauenkappelen         ML   Laupen
 16    52.75 o--oo+       Schwab Marc, S                       Aarberg                SL   Aarberg
 17 a  52.50 oooo+o       Dänzer Lars, S                       Rosshäusern            ML   Laupen
 17 b  52.50 ooo+oo       Fankhauser Ivan (1999), S            Rüeggisberg            ML   Schwarzenburg
 18    51.00 oooooo       Käser Benjamin, S                    Rosshäusern            ML   Laupen




                                         ©2016 Eidgenössischer Schwingerverband                     04.08.2016 06:24 Seite 1/1

