                                                                                                          12. Schwingertag Laupen
            Schlussrangliste                                                                                     Laupen, 05.06.2017


Rang Punkte    Resultat             Name Vorname                            Wohnort                      Schwingklub             Status
  1    58.75 S +++-++               Graber Willy, S ***                     Bolligen                ML   Worblental
  2    57.75 ++++o+                 Erb Matthias, S                         Ittigen                 ML   Worblental
  3    57.50 S +++-+o               Gnägi Florian, T ***                    Aarberg                 SL   Biel
  4a   57.00 oo++++                 Thomet Adrian, S **                     Rüeggisberg             ML   Schwarzenburg
  4b   57.00 +o+++o                 Graber Alfred, S *                      Biglen                  ML   Worblental
  5a   56.75 -++o++                 Zehnder Jürg, S *                       Oberbottigen            ML   Laupen
  5b   56.75 o-++++                 Graber Bruno, S **                      Krauchthal              ML   Worblental
  6    56.00 -+oo++                 Vonlanthen Cyril, T *                   Bellmund                SL   Biel
  7a   55.75 o-+++o                 Zbinden Reto, S *                       Mittelhäusern           ML   Schwarzenburg
  7b   55.75 ++o-o+                 Münger Marcel (1999), S                 Rüschegg Heubach        ML   Schwarzenburg
  8a   55.50 +-+-o+                 Hunziker Sven, S                        Oberbalm                ML   Schwarzenburg
  8b   55.50 o++o+o                 Zehnder Simon, S                        Oberbottigen            ML   Laupen
  8c   55.50 ++o+oo                 Berger Lorenz, S                        Niederscherli           ML   Schwarzenburg
  9    55.25 -++-o+                 Hadorn Marco (1999), S                  Mühledorf BE            ML   Münsingen
 10    55.00 +----+                 Dubler Mike (1999), T                   Aarberg                 SL   Biel
 11    54.75 o+oo++                 Widmer Michael, T                       Gurmels                 ML   Laupen
 12 a  54.50 +o--+-                 Roschi Adrian (1999), S                 Oberwil im Simmental    BO   Niedersimmental
 12 b  54.50 o-o++o                 Waeber Marco, S                         Mühleberg               ML   Laupen
 12 c  54.50 +oo-o+                 Berger Christian (1999), S              Burgistein              ML   Wattenwil
 13 a  54.25 --++oo                 Berger Ueli, S *                        Burgistein              ML   Wattenwil
 13 b  54.25 +-oo+o                 Holzer Alain, S                         Frauenkappelen          ML   Laupen
 13 c  54.25 +oo+o-                 Balimann Fabian                         Finsterhennen           FR   Kerzers/Chiètres
 14    54.00 o+oo-+                 Perler Kevin, S                         Gurmels                 ML   Laupen
 15 a  53.75 o+ooo+                 Holzer Vincent (1999)                   Frauenkappelen          ML   Laupen
 15 b  53.75 oo++oo                 Fankhauser Ivan (1999), S               Rüeggisberg             ML   Schwarzenburg
 16    53.25 +ooo-o                 Zingg Bruno, S                          Suberg                  ML   Worblental
 17 a  52.75 o-+o-o                 Streit Patrick, S                       Zimmerwald              ML   Münsingen
 17 b  52.75 ooo+oo                 Straub Mathias, S                       Frauenkappelen          ML   Laupen
 17 c  52.75 ooo+oo                 Bieri Alain, S                          Bern                    ML   Laupen
 18    52.50 oooo+o                 Wegmüller Florian, S                    Etzelkofen              SL   Lyss
 19    51.00 oooooo                 Straub Florian (2000)                   Frauenkappelen          ML   Laupen

* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger




Laupen                                                ©2022 Eidgenössischer Schwingerverband                     25.06.2022 08:23 Seite 1/1

