                                                Zürcher
         Schlussrangliste         Kantonalschwingfest
                             Hausen am Albis, 06.05.2018

Rang Punkte Resultat Name Vorname                     Wohnort                         Schwingklub               Status
 1 59.25 S ++++++ Giger Samuel, S ***                 Ottoberg                     TG Ottenberg                 Kranz
 2   58.00 -+++++ Orlik Armon, S ***                  Maienfeld                    GR Unterlandquart            Kranz
 3 a 57.75 +o++++ Arztmann Beda, T *                  Ossingen                     ZH Winterthur                Kranz
 3 b 57.75 --++++ Rhyner Michael, S **                Flawil                       SG Flawil                    Kranz
 4   57.50 --++++ Hersche Martin, S ***               Appenzell                    AP Appenzell                 Kranz
 5 a 57.25 S o++++o Gisler Bruno, S ***               Rumisberg                    SO Solothurn u. Umgebung     Kranz
 5 b 57.25 --++++ Klausner Yanick, S **               Benzenschwil                 AG Freiamt                   Kranz
 5 c 57.25 o+++-+ Gwerder Andreas, S **               Hütten                       ZH Zürichsee Linkes Ufer     Kranz
 6 a 57.00 --++++ Nägeli Marco, S **                  Mettmenstetten               ZH Am Albis                  Kranz
 6 b 57.00 -+++-+ Riget Tobias, S **                  Schänis                      SG Rapperswil u. Umgebung    Kranz
 6 c 57.00 +-+o++ Döbeli Andreas, S *                 Sarmenstorf                  AG Freiamt                   Kranz
 6 d 57.00 +-+o++ Eugster Ruedi, S **                 Quarten                      SG Mels                      Kranz
 6 e 57.00 -++++o Kid Simon, S **                     Maseltrangen                 SG Rapperswil u. Umgebung    Kranz
 6 f 57.00 +++oo+ Kunz Daniel, T                      Wagen                        ZH Zürichsee Rechtes Ufer    Neukranzer
 6 g 57.00 ++o+o+ Wey Nicola, S *                     Stäfa                        ZH Zürichsee Rechtes Ufer    Kranz
 7 a 56.75 ++o-++ Funk Nicola, S                      Hinwil                       ZH Zürcher Oberland          Neukranzer
 7 b 56.75 +o++-+ Geisser Lars, T **                  Mörschwil                    SG St. Gallen u. Umgebung    Kranz
 7 c 56.75 -+++o+ Krähenbühl Tobias, T ***            Wetzikon TG                  TG Unterthurgau              Kranz
 7 d 56.75 +++o-+ Schneider Mario, S **               Schönenberg an der Thur      TG Ottenberg                 Kranz
 7 e 56.75 ++++oo Leuppi Samir, S **                  Winterthur                   ZH Winterthur                Kranz
 8 a 56.50 ++o++- Odermatt Christoph, S *             Bauma                        ZH Zürcher Oberland
 8 b 56.50 ++o-++ Wettstein Daniel, S                 Zürich                       ZH Glatt- und Limmattal
 8 c 56.50 o+++o+ Bickel Roman, T *                   Hochfelden                   ZH Zürcher Unterland
 8 d 56.50 o+++o+ Bickel Stefan, S *                  Hochfelden                   ZH Zürcher Unterland
 8 e 56.50 ++oo++ Heierli Pascal, S                   Ebnat-Kappel                 SG Wattwil
 8 f 56.50 +o++o+ Junker Nik, S                       Mettmenstetten               ZH Am Albis
 8 g 56.50 ++oo++ Lehmann Philipp, S                  Humlikon                     ZH Winterthur
 8 h 56.50 ++o+o+ Leuthard Reto, S *                  Merenschwand                 AG Freiamt
 8 i 56.50 +o+o++ Räbsamen Marcel (2000), S           Müselbach                    SG Wil
 8 j 56.50 ++o+o+ Reichmuth Beat, S                   Mettmenstetten               ZH Am Albis
 8 k 56.50 +o+o++ Strebel Joel, S **                  Aristau                      AG Freiamt
 8 l 56.50 +--++- Dändliker Shane, S *                Feldbach                     ZH Zürichsee Rechtes Ufer
 8 m 56.50 -+-+o+ Lanter Christian, S                 Kollbrunn                    ZH Winterthur
 9 a 56.25 +--++- Breitenmoser Manuel, S              Nassen                       SG Flawil
 9 b 56.25 -+++o- Schnurrenberger Roman, S **         Sternenberg                  ZH Zürcher Oberland
10 a 56.00 +o-+-+ Nägeli Roman, S *                   Schönenberg ZH               ZH Am Albis
10 b 56.00 +-o-++ Schlegel Werner (2002), S           Hemberg                      SG Wattwil
10 c 56.00 +o+o-+ Bernold Michael, S *                Walenstadt                   SG Mels
10 d 56.00 o-+++o Schlegel Reto, S *                  Flumserberg                  SG Mels
