place,name,points,level
1,Moser Steven **,58.75,**
4,Kramer Lario **,57.50,**
6 a,Duplan Steve **,57.00,**
7 a,Roch Vincent **,56.75,**
8 a,Crettaz Olivier,56.50,Olivier
9 b,Derron Julien,56.25,Julien
10 c,Rapin Florent,56.00,Florent
11 c,Egli Pirmin **,55.75,**
11 f,Dind Samuel **,55.75,**
2,Piemontesi Pascal **,58.25,**
5 a,Haenni Stéphane **,57.25,**
6 b,Mollet Ivan *,57.00,*
7 b,Dousse Michel **,56.75,**
8 b,Matthey Mickaël **,56.50,**
10 a,Brodard Simon **,56.00,**
11 a,Ledermann Michael (2000),55.75,(2000)
11 d,Berset Julien *,55.75,*
12 a,Ducry Antoine *,55.50,*
3,Borcard Johann **,58.00,**
5 b,Gottofrey Marc **,57.25,**
6 c,Egli Damian **,57.00,**
7 c,Minder Florian,56.75,Florian
9 a,Wieland Janis,56.25,Janis
10 b,Schmidiger Marco *,56.00,*
11 b,Egli David *,55.75,*
11 e,Doppmann Urs *,55.75,*
12 b,Dind Clément,55.50,Clément
12 c,Cotting Florian,55.50,Florian
12 f,Sturny Nicolas,55.50,Nicolas
12 i,Ambresin Cyril (1999),55.50,(1999)
13 c,Golliard Steve,55.25,Steve
13 f,Brodard Augustin **,55.25,**
13 i,Parvex Yannick,55.25,Yannick
13 l,Ganière William,55.25,William
14 b,Pellet Adrian,55.00,Adrian
14 e,Emonet Frédéric *,55.00,*
12 d,Von Niederhäusern Martin,55.50,Martin
12 g,Lützelschwab Luc (1999),55.50,(1999)
13 a,Kyburz Silas,55.25,Silas
13 d,Dubey Gaël,55.25,Gaël
13 g,Barras André *,55.25,*
13 j,Loup Grégoire (2000),55.25,(2000)
13 m,Berthet Luca (2001),55.25,(2001)
14 c,Mosimann Vincent *,55.00,*
14 f,Crausaz Simon,55.00,Simon
12 e,Vaucher Rémy (1999),55.50,(1999)
12 h,Balimann Fabian,55.50,Fabian
13 b,Gottofrey Luc *,55.25,*
13 e,Buchs Julien (1999),55.25,(1999)
13 h,Pürro Tobias,55.25,Tobias
13 k,Lerch Jimmy *,55.25,*
14 a,Taillard Virgile,55.00,Virgile
14 d,Fankhauser Hans (2001),55.00,(2001)
14 g,Mollet Adrian,55.00,Adrian
15 a,Remy André (2001),54.75,(2001)
16 a,Cropt Harald **,54.50,**
17 a,Kramer Dorian (1999),54.25,(1999)
17 d,Blanchette Nicolas,54.25,Nicolas
17 g,Monney Branighan,54.25,Branighan
17 j,Torche Bastian,54.25,Bastian
18 c,Hochuli Samuel,54.00,Samuel
18 f,Holweger Marek,54.00,Marek
18 i,Choﬄon Anthony,54.00,Anthony
15 b,Cotting Alexandre,54.75,Alexandre
16 b,Zosso Fabian,54.50,Fabian
17 b,Dorsaz Théo,54.25,Théo
17 e,Balimann Sandro (2001),54.25,(2001)
17 h,Liardon Kevin,54.25,Kevin
18 a,Roth Simon (2000),54.00,(2000)
18 d,Dorsaz Alexandre *,54.00,*
18 g,Heiniger Mickaël,54.00,Mickaël
19 a,Squaratti Yannick,53.75,Yannick
15 c,Loup Alexandre *,54.75,*
16 c,Wieland Micha,54.50,Micha
17 c,Doppmann Ueli,54.25,Ueli
17 f,Z'Rotz Roman,54.25,Roman
17 i,Bersier Jean-Jacques *,54.25,*
18 b,Rappo Yann,54.00,Yann
18 e,Schafer Damien *,54.00,*
18 h,Délitroz Lucien (1999),54.00,(1999)
19 b,Quartenoud Samuel,53.75,Samuel
19 c,Duvoisin Antony,53.75,Antony
20 b,Goy Sébastien,53.50,Sébastien
21 a,Vionnet Julien (2000),52.75,(2000)
21 d,Pürro David (2001),52.75,(2001)
23,Lambert Ousama (1999),52.25,(1999)
24 c,Balsiger Kevin (2001),51.00,(2001)
26 b,Gassmann Simon *,8.75,*
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
19 d,Buntschu Andreas (2001),53.75,(2001)
20 c,Détienne Laurent,53.50,Laurent
21 b,Gauch Thierry,52.75,Thierry
22 a,Turrian Mathias,52.50,Mathias
24 a,Perrier Kilian (2001),51.00,(2001)
25,Giroud Jonathan **,44.00,**
27,Feltz Nils (2001),8.50,(2001)
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
20 a,Turin Antoine (2001),53.50,(2001)
20 d,Cottier Marco (2000),53.50,(2000)
21 c,Dormond Noa,52.75,Noa
22 b,Aeschbacher Ivo (2001),52.50,(2001)
24 b,Lopes Semedo Mauro (2001),51.00,(2001)
26 a,Haldi Sami *,8.75,*
28 °,Isoz Bertrand,0.00,Bertrand
