place,name,points,level
1 a,Imhof Andi ***,57.50,***
1 d,Bernhard Lukas *,57.50,*
3 a,Rohrer Marco **,57.00,**
3 d,Zurﬂuh Markus **,57.00,**
3 g,Hess Dominik,57.00,Dominik
4 a,Wyrsch Marco *,56.75,*
4 d,Rohrer Ivan *,56.75,*
5 a,Mathis Marcel ***,56.50,***
5 d,Niederberger Markus,56.50,Markus
Ob-/N,alden,,alden
1 b,Britschgi Melk **,57.50,**
2 a,von Ah Benji ***,57.25,***
3 b,Müller Bruno ***,57.00,***
3 e,Töngi Thomas *,57.00,*
3 h,Briker Michael *,57.00,*
4 b,Odermatt Sepp **,56.75,**
4 e,Lussi Marco *,56.75,*
5 b,Odermatt Andreas *,56.50,*
5 e,Niederberger Jakob **,56.50,**
1 c,Gasser Stefan **,57.50,**
2 b,Herger Matthias *,57.25,*
3 c,Kempf Elias **,57.00,**
3 f,Murer Andy *,57.00,*
3 i,Gassmann Fabian **,57.00,**
4 c,Nötzli Bruno ***,56.75,***
4 f,Gassmann Michael *,56.75,*
5 c,Odermatt Christian **,56.50,**
5 f,Bieri Christoph ***,56.50,***
6 a,Zimmermann Martin **,56.25,**
7 b,Omlin Toni *,56.00,*
8 b,Rohrer Beat *,55.75,*
8 e,Müller Alain ***,55.75,***
8 h,Herger Lukas,55.75,Lukas
8 k,Barmettler Peter *,55.75,*
9 b,Styger Mike (1999),55.50,(1999)
9 e,Portmann Josef *,55.50,*
9 h,Fankhauser Hans-Jakob *,55.50,*
Ob-/N,alden,,alden
6 b,Langenstein Philip,56.25,Philip
7 c,Brun Jonas **,56.00,**
8 c,Höﬂiger Andreas *,55.75,*
8 f,Lemmenmeier Lukas (1997),55.75,(1997)
8 i,Ettlin Stefan (1997),55.75,(1997)
8 l,Schärli Peter *,55.75,*
9 c,Fleischmann Fabian,55.50,Fabian
9 f,Imfeld Beat,55.50,Beat
9 i,Schaﬀner Samuel **,55.50,**
7 a,Hurschler Thomas **,56.00,**
8 a,Schuler Philipp **,55.75,**
8 d,Schuler Daniel,55.75,Daniel
8 g,Imfeld Peter ***,55.75,***
8 j,Durrer Robin,55.75,Robin
9 a,Widmer David,55.50,David
9 d,von Ah Markus,55.50,Markus
9 g,Gander Martin (1997),55.50,(1997)
9 j,Albert Thomas,55.50,Thomas
9 k,Aeschlimann Martin,55.50,Martin
10 c,Imfeld Christian *,55.25,*
10 f,Zurﬂuh Michael (1999),55.25,(1999)
10 i,Müller Mathias,55.25,Mathias
11 b,Waser Raphael (1998),55.00,(1998)
11 e,Büchi Christian,55.00,Christian
11 h,Bürgi Reto,55.00,Reto
11 k,Baumann Roger *,55.00,*
12 b,Schärli Lukas **,54.75,**
Ob-/N,alden,,alden
10 a,Schuler Thomas,55.25,Thomas
10 d,Herger Fabian,55.25,Fabian
10 g,Spichtig Markus *,55.25,*
10 j,Durrer Hans,55.25,Hans
11 c,Wallimann Remo (1997),55.00,(1997)
11 f,Vonlaufen Lukas *,55.00,*
11 i,Suter Beat,55.00,Beat
11 l,Arnold Andreas *,55.00,*
12 c,Portmann Daniel,54.75,Daniel
10 b,Würsch Lars,55.25,Lars
10 e,Della Torre Simon (1997),55.25,(1997)
10 h,Scherer Adrian *,55.25,*
11 a,Zimmermann Simon *,55.00,*
11 d,Habegger Jürg *,55.00,*
11 g,Stöckli Stefan *,55.00,*
11 j,Odermatt Remo *,55.00,*
12 a,Wagner Severin (1998),54.75,(1998)
12 d,Martin Robin,54.75,Robin
12 e,Gut Koni,54.75,Koni
12 h,Käslin Ruedi,54.75,Ruedi
12 k,Gander Adrian *,54.75,*
13 b,Arnold Fabian,54.50,Fabian
13 e,Scheuber Stefan,54.50,Stefan
13 h,Zumstein Marcel,54.50,Marcel
13 k,Amstutz Niklaus *,54.50,*
13 n,Stadler Johannes,54.50,Johannes
14 b,Michel Silvan,54.25,Silvan
Ob-/N,alden,,alden
12 f,Schärli Pius *,54.75,*
12 i,Indergand Armin *,54.75,*
12 l,Bättig Martin *,54.75,*
13 c,Zberg Leo (1997),54.50,(1997)
13 f,Halter Markus *,54.50,*
13 i,Rohrer André,54.50,André
13 l,Amgarten Martin,54.50,Martin
13 o,Niederberger Martin *,54.50,*
14 c,Kempf Damian,54.25,Damian
12 g,Odermatt Silvan *,54.75,*
12 j,Scheidegger Adrian,54.75,Adrian
13 a,Murer Remo,54.50,Remo
13 d,von Flüe Marco,54.50,Marco
13 g,Arnold Severin *,54.50,*
13 j,Kempf Tobias (1999),54.50,(1999)
13 m,Zumstein Patrick,54.50,Patrick
14 a,Vogler Daniel *,54.25,*
14 d,von Wyl Simon (1999),54.25,(1999)
14 e,von Moos Adrian,54.25,Adrian
14 h,Hess Christian,54.25,Christian
14 k,Baumann Reto,54.25,Reto
15 a,Ming Hannes (1998),54.00,(1998)
15 d,Durrer Nando (1999),54.00,(1999)
15 g,Odermatt Beat,54.00,Beat
16 a,Rohrer Ueli (1999),53.75,(1999)
16 d,Gasser Dominik 1,53.75,1
17 c,Gasser René,53.50,René
Ob-/N,alden,,alden
