place,name,points,level
1,Reichmuth Pirmin ***,59.75,***
3 a,Betschart Remo **,57.50,**
4 b,Wicki Joel **,57.25,**
4 e,Müller Michael **,57.25,**
5 a,Kennel Beat *,57.00,*
5 d,Linggi Bruno **,57.00,**
6 b,Waser Dominik **,56.75,**
6 e,Ulrich Andreas ***,56.75,***
2 a,Imhof Andi ***,57.75,***
3 b,Bernhard Lukas *,57.50,*
4 c,Kenel Franz-Toni *,57.25,*
4 f,Gloggner Reto **,57.25,**
5 b,Elsener Marcel *,57.00,*
5 e,Briker Michael *,57.00,*
6 c,Grab Martin,56.75,Martin
6 f,Rohrer Ueli *,56.75,*
2 b,Suppiger Werner **,57.75,**
4 a,Bieri Marcel **,57.25,**
4 d,Reichmuth Marco **,57.25,**
4 g,Burch Jonas *,57.25,*
5 c,Arnold Fabian *,57.00,*
6 a,Arnold Raphael **,56.75,**
6 d,Van Messel Noe (2002),56.75,(2002)
6 g,Egli Damian **,56.75,**
6 h,Zimmermann Martin **,56.75,**
7 c,Matter Marco,56.50,Marco
7 f,Klausner Yanick **,56.50,**
8 a,Reichmuth Armin *,56.25,*
8 d,Mathis Marcel ***,56.25,***
8 g,Müllestein Mike ***,56.25,***
9 b,Rohrer Marco **,56.00,**
9 e,Bienz Romeo,56.00,Romeo
9 h,Wallimann Remo,56.00,Remo
7 a,Bieri Christian **,56.50,**
7 d,Bucher Christian *,56.50,*
7 g,Heiniger Marco *,56.50,*
8 b,Durrer Markus,56.25,Markus
8 e,Elsener Adrian **,56.25,**
8 h,Durrer Fabian *,56.25,*
9 c,Schärli Reto,56.00,Reto
9 f,Heinzer Ronny *,56.00,*
9 i,Reichmuth Roland *,56.00,*
7 b,Odermatt Christian **,56.50,**
7 e,Streiﬀ Dominik *,56.50,*
7 h,Fankhauser Reto **,56.50,**
8 c,Wyrsch Marco **,56.25,**
8 f,Strebel Joel **,56.25,**
9 a,Steinauer Adrian **,56.00,**
9 d,Döbeli Andreas *,56.00,*
9 g,Gasser Stefan **,56.00,**
10 a,Villiger Cyrill *,55.75,*
10 b,Leuthard Reto **,55.75,**
10 e,Stöckli Damian *,55.75,*
10 h,Fellmann Roman **,55.75,**
10 k,Baumann Lukas,55.75,Lukas
10 n,Achermann Christoph *,55.75,*
11 c,Vonlaufen Lukas *,55.50,*
11 f,Felder Seppi *,55.50,*
11 i,Vogel Manuel,55.50,Manuel
11 l,Döbeli Lukas **,55.50,**
10 c,Huber Alex *,55.75,*
10 f,Rohrer Ivan **,55.75,**
10 i,Bucher Thomas,55.75,Thomas
10 l,Weber Ivo,55.75,Ivo
11 a,Wicki Kevin,55.50,Kevin
11 d,Ulrich Marco *,55.50,*
11 g,Bucher Roland *,55.50,*
11 j,Graber Michael *,55.50,*
11 m,Langensand Stefan *,55.50,*
10 d,Wicki Patrick,55.75,Patrick
10 g,Kurmann Toni *,55.75,*
10 j,Betschart Rainer **,55.75,**
10 m,Riebli Urs (2002),55.75,(2002)
11 b,Wandeler Roman (2002),55.50,(2002)
11 e,Lustenberger Marc (2003),55.50,(2003)
11 h,Zurﬂuh Michael *,55.50,*
11 k,Ettlin Martin,55.50,Martin
12 a,Schuler Alex ***,55.25,***
12 b,Ming Hannes,55.25,Hannes
12 e,Zimmermann Simon **,55.25,**
12 h,Scherrer Fabian (2002),55.25,(2002)
12 k,Lagler Christian,55.25,Christian
12 n,Barmettler Peter *,55.25,*
