place,name,points,level
1,Aeschbacher Matthias **,58.75,**
4 a,Staudenmann Fabian **,57.25,**
5 b,Orlik Curdin **,57.00,**
5 e,Kämpf Bernhard ***,57.00,***
6 c,Zenger Niklaus ***,56.75,***
7 b,Wenger Kilian ***,56.50,***
8 a,Rolli Martin **,56.25,**
10,Dändliker Shane **,55.75,**
11 c,Roth Martin **,55.50,**
Südw,schweizerischer Schwingerverband,,Schwingerverband
2,Lengacher Jonas **,58.25,**
4 b,Käser Remo ***,57.25,***
5 c,Gobeli Patrick **,57.00,**
6 a,Bösch Daniel ***,56.75,***
6 d,Weyermann Florian *,56.75,*
7 c,Roth Dominik **,56.50,**
8 b,Luginbühl Hanspeter **,56.25,**
11 a,Kämpf Alexander **,55.50,**
11 d,Ramseier Fritz **,55.50,**
3,Anderegg Simon ***,58.00,***
5 a,von Weissenﬂuh Kilian **,57.00,**
5 d,Graber Willy ***,57.00,***
6 b,Wiget Michael *,56.75,*
7 a,Sempach Thomas ***,56.50,***
7 d,Kramer Lario **,56.50,**
9,Gnägi Florian ***,56.00,***
11 b,Gerber Christian **,55.50,**
11 e,Gäumann Stefan *,55.50,*
11 f,Ducrest Etienne *,55.50,*
11 i,Good Marco *,55.50,*
12 c,Wey Nicola *,55.25,*
12 f,Dumelin David **,55.25,**
13 c,Kuster Marcel ***,55.00,***
14 b,Ramseier Thomas *,54.75,*
14 e,Bernold Christian **,54.75,**
15 b,Studer Stefan **,54.50,**
Südw,schweizerischer Schwingerverband,,Schwingerverband
11 g,Krähenbühl Tobias ***,55.50,***
12 a,Gapany Benjamin **,55.25,**
12 d,Roch Vincent **,55.25,**
13 a,Burger Matthieu (2001) *,55.00,*
13 d,Burkhalter Stefan ***,55.00,***
14 c,Koch Reto *,54.75,*
14 f,Schlegel Werner (2002) *,54.75,*
15 c,Schneider Domenic ***,54.50,***
11 h,Zangger Dominik *,55.50,*
12 b,Brodard Augustin **,55.25,**
12 e,Leuenberger Michael *,55.25,*
13 b,von Büren Stephan **,55.00,**
14 a,Gottofrey Marc **,54.75,**
14 d,Ducry Antoine **,54.75,**
15 a,Rychen Roger ***,54.50,***
15 d,Geisser Lars **,54.50,**
15 e,Steﬀen Konrad *,54.50,*
16 b,Borcard Johann **,54.25,**
16 e,Duplan Steve **,54.25,**
17 b,Mollet Ivan *,54.00,*
18 c,Borcard Clovis *,53.75,*
19,Ammann Rico *,53.50,*
20 c,Balimann Sandro (2001) *,53.25,*
22 a,Zimmermann Mario *,52.50,*
24,Guisolan Marc **,35.50,**
Südw,schweizerischer Schwingerverband,,Schwingerverband
15 f,Habegger Heinz **,54.50,**
16 c,Schwander Severin **,54.25,**
16 f,Collaud Romain (2002) *,54.25,*
18 a,Wittenwiler Roman *,53.75,*
18 d,Piemontesi Pascal **,53.75,**
20 a,Minder Florian **,53.25,**
21 a,Kramer Dorian *,52.75,*
22 b,Lerch Jimmy *,52.50,*
25 a,Rhyner Michael **,35.25,**
16 a,Rapin Florent *,54.25,*
16 d,Matthey Mickaël **,54.25,**
17 a,Riedo Fredy *,54.00,*
18 b,Koch Thomas *,53.75,*
18 e,Hayoz Quentin *,53.75,*
20 b,Haenni Stéphane **,53.25,**
21 b,Gottofrey Luc *,52.75,*
23,Steﬀen Valentin *,35.75,*
25 b,Grossenbacher Simon (2002) *,35.25,*
26,Dubey Gaël *,34.50,*
27 c,Colò Kilian **,34.25,**
28 a,Rossy Yannick *,34.00,*
28 d,Emonet Fabien **,34.00,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Südw,schweizerischer Schwingerverband,,Schwingerverband
27 a,Crettaz Olivier *,34.25,*
27 d,Buchs Carlo *,34.25,*
28 b,Parvex Yannick *,34.00,*
29,Moser Michael **,18.50,**
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
27 b,Cotting Florian *,34.25,*
27 e,Kammermann Thomas *,34.25,*
28 c,Loup Alexandre *,34.00,*
30,Marti Stefan **,8.75,**
