place,name,points,level
1 a,Wicki Joel ***,58.50,***
3,Lang Sven **,57.75,**
4 c,Riebli Urs *,57.25,*
5 a,Kenel Franz-Toni *,57.00,*
6 a,Bucher Christian **,56.75,**
6 d,Riget Florian **,56.75,**
6 g,Suppiger Werner **,56.75,**
7 a,Arnold Stefan **,56.50,**
1 b,Herger Matthias **,58.50,**
4 a,Ulrich Marco **,57.25,**
4 d,Suter Samuel,57.25,Samuel
5 b,Bürgi Reto *,57.00,*
6 b,Imhof Andi ***,56.75,***
6 e,Bucher Roland *,56.75,*
6 h,Schuler Christian ***,56.75,***
7 b,Bissig Lukas *,56.50,*
2,Reichmuth Roland *,58.00,*
4 b,Marti Simon,57.25,Simon
4 e,Waser Dominik **,57.25,**
5 c,Fankhauser Marco **,57.00,**
6 c,Lustenberger Marc *,56.75,*
6 f,Scherrer Fabian *,56.75,*
6 i,Zurﬂuh Roman **,56.75,**
7 c,Lustenberger Josef *,56.50,*
7 d,Nietlispach Pascal **,56.50,**
8 b,Röthlin Pascal,56.25,Pascal
8 e,Müller Luca (2004) *,56.25,*
9 b,Wyrsch Marco **,56.00,**
9 e,Schärli Reto *,56.00,*
9 h,Gander Martin,56.00,Martin
10 c,Betschart Marcel *,55.75,*
10 f,Kessler Joel *,55.75,*
10 i,Riebli Leon,55.75,Leon
7 e,Müllestein Mike ***,56.50,***
8 c,Schwyzer Samuel *,56.25,*
8 f,Schuler Alex,56.25,Alex
9 c,Bucher Thomas *,56.00,*
9 f,Schuler Philipp **,56.00,**
10 a,Gmür Pirmin **,55.75,**
10 d,Kälin Roland **,55.75,**
10 g,Lagler Christian *,55.75,*
10 j,Barmettler Renato *,55.75,*
8 a,Kurmann Toni *,56.25,*
8 d,Durrer Nando *,56.25,*
9 a,Riget Tobias **,56.00,**
9 d,Hürlimann Mathias *,56.00,*
9 g,Schürpf Bruno *,56.00,*
10 b,Baumann Roger *,55.75,*
10 e,Kennel Beat **,55.75,**
10 h,Hurschler Tobias,55.75,Tobias
10 k,Wüest David,55.75,David
11 a,Lussi Marco **,55.50,**
11 d,von Ah Benji ***,55.50,***
11 g,Durrer Jonas *,55.50,*
11 j,Scherrer Patrick,55.50,Patrick
11 m,Bucher André,55.50,André
11 p,Zurﬂuh Michael *,55.50,*
12 a,Amrhyn Jonas,55.25,Jonas
12 d,Hürlimann Ueli,55.25,Ueli
11 b,Rohrer Ivan **,55.50,**
11 e,Bühler Patrice,55.50,Patrice
11 h,Gisler Silvan,55.50,Silvan
11 k,Vogel Laurin,55.50,Laurin
11 n,Lüthy Ralph,55.50,Ralph
11 q,von Rickenbach Pirmin,55.50,Pirmin
12 b,Birchler Fabian,55.25,Fabian
12 e,Odermatt Andreas **,55.25,**
11 c,Elmiger Andreas *,55.50,*
11 f,Durrer Fabian *,55.50,*
11 i,Gut Koni,55.50,Koni
11 l,Wicki David *,55.50,*
11 o,Ettlin Stefan **,55.50,**
11 r,Züger Benjamin (2004),55.50,(2004)
12 c,Bühler Ramon,55.25,Ramon
12 f,Zimmermann Daniel *,55.25,*
12 g,Achermann Christoph *,55.25,*
12 j,Appert Silvan,55.25,Silvan
13 b,Hürlimann Marco,55.00,Marco
13 e,Durrer Lukas,55.00,Lukas
14 b,Elsener Marcel *,54.75,*
14 e,Keller Janik *,54.75,*
14 h,Meier Daniel,54.75,Daniel
15 a,Rogenmoser Linus,54.50,Linus
15 d,Heinzer Lukas (2004),54.50,(2004)
12 h,Schnellmann Adrian (2004),55.25,(2004)
12 k,Wiget Ueli,55.25,Ueli
13 c,Rogenmoser Ryan,55.00,Ryan
13 f,Langensand Stefan *,55.00,*
14 c,Schilter Daniel *,54.75,*
14 f,Niederberger Markus *,54.75,*
14 i,Wyrsch Gabriel,54.75,Gabriel
15 b,Gisler Noah,54.50,Noah
15 e,Wicki Patrick,54.50,Patrick
12 i,Wyss Christian *,55.25,*
13 a,Gabriel Simon,55.00,Simon
13 d,Wittwer Roy,55.00,Roy
14 a,Briker Raphael (2006),54.75,(2006)
14 d,Ulrich Michael,54.75,Michael
14 g,Felder Ivan (2004),54.75,(2004)
14 j,Suter Beat *,54.75,*
15 c,Andermatt Reto,54.50,Reto
16 a,Beﬀa Mario,54.25,Mario
16 b,Betschart Roger,54.25,Roger
16 e,Moos Christoph *,54.25,*
16 h,Bühlmann Daniel,54.25,Daniel
16 k,Hurschler Adrian,54.25,Adrian
16 n,von Rickenbach Carlo (2005),54.25,(2005)
17 a,Arnold Robin,54.00,Robin
17 d,von Ah Markus,54.00,Markus
17 g,Klauser Nico,54.00,Nico
17 j,Meier Andreas,54.00,Andreas
16 c,Durrer Ueli,54.25,Ueli
16 f,Zumbach Michael,54.25,Michael
16 i,Elsener Manuel,54.25,Manuel
16 l,Thalmann Adrian,54.25,Adrian
16 o,Von Euw Adi,54.25,Adi
17 b,Schnellmann Alexander (2004),54.00,(2004)
17 e,Arnold Sebastian,54.00,Sebastian
17 h,Lüscher Elias (2006),54.00,(2006)
17 k,Würsch Lars *,54.00,*
16 d,Hegner Ueli *,54.25,*
16 g,Arnold Marcel *,54.25,*
16 j,Ettlin Michael,54.25,Michael
16 m,Troxler Jonas *,54.25,*
16 p,Egli Matthias,54.25,Matthias
17 c,Schuler Daniel *,54.00,*
17 f,Kiser Dominik (2006),54.00,(2006)
17 i,Lüthi Manuel *,54.00,*
17 l,Binggeli Stefan **,54.00,**
17 m,Schwyzer Sebastian (2004),54.00,(2004)
18 c,Zimmermann Gian (2004),53.75,(2004)
18 f,Elmer Daniel *,53.75,*
18 i,Hodler Mathias,53.75,Mathias
18 l,Wiss Ivan (2004),53.75,(2004)
19 c,Kempf Damian,53.50,Damian
20 a,Baumann Marco,53.25,Marco
20 d,Kaiser Sandro,53.25,Sandro
22 a,Arnold Severin *,52.75,*
18 a,Bucher Sandro,53.75,Sandro
18 d,Bissig Joris,53.75,Joris
18 g,Epp Elias,53.75,Elias
18 j,Süssmeier Kay (2006),53.75,(2006)
19 a,Barmettler Severin (2005),53.50,(2005)
19 d,Suter Lukas,53.50,Lukas
20 b,Pfyl Reto (2006),53.25,(2006)
21 a,Suter Michael,53.00,Michael
22 b,Kathriner Andreas,52.75,Andreas
18 b,Gwerder Andreas *,53.75,*
18 e,Bürgi Simon,53.75,Simon
18 h,Furrer Jens,53.75,Jens
18 k,Bieri Christian **,53.75,**
19 b,Gasser Dominik 1,53.50,1
19 e,Hüsler Matthias,53.50,Matthias
20 c,Arnold Kilian,53.25,Kilian
21 b,Forster Christian,53.00,Christian
22 c,Niederberger Sven (2006),52.75,(2006)
23 a,Kauﬂin Andrin (2004),52.50,(2004)
23 d,Rogenmoser Franco (2004),52.50,(2004)
25,Elsener Adrian **,36.25,**
27,Baumann Lukas,35.75,Lukas
29 a,Blättler Ronnie (2004),35.25,(2004)
29 d,Horat Dominic,35.25,Dominic
29 g,Müller Dominik,35.25,Dominik
29 j,Rogenmoser Luca,35.25,Luca
30,Durrer Markus,35.00,Markus
32 a,Wyttenbach Silvan (2005),34.50,(2005)
33 b,Gabriel Christian,34.25,Christian
23 b,Koch Emanuel (2006),52.50,(2006)
23 e,Suter Nicola (2005),52.50,(2005)
26 a,Wallimann Remo *,36.00,*
28 a,Bienz Romeo *,35.50,*
29 b,Christen Silvan,35.25,Silvan
29 e,Köpﬂi Mario (2005),35.25,(2005)
29 h,Reichlin Reto,35.25,Reto
29 k,Schmid Pius,35.25,Pius
31 a,Lienhard Ramon (2004),34.75,(2004)
32 b,Büeler Ivo (2004),34.50,(2004)
33 c,Gander Adrian *,34.25,*
23 c,Langenegger Ruedi,52.50,Ruedi
24,Britschgi Marcel,44.25,Marcel
26 b,Hess Michael *,36.00,*
28 b,Zumstein Patrick,35.50,Patrick
29 c,Eberli Jonas (2005),35.25,(2005)
29 f,Meier Marcel,35.25,Marcel
29 i,Reichmuth Marco (2005),35.25,(2005)
29 l,Ulrich Ronny (2006),35.25,(2006)
31 b,Staub Ivan,34.75,Ivan
33 a,Arnold Matthias (2006),34.25,(2006)
33 d,Schnüriger Kevin (2004),34.25,(2004)
33 e,Stübi Noël (2004),34.25,(2004)
34 a,Langenegger Gerhard,34.00,Gerhard
34 d,Wesemann Micha,34.00,Micha
37,Odermatt Christian **,8.75,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
33 f,Birrer Jonas (2006),34.25,(2006)
34 b,Stübi Nevio (2006),34.00,(2006)
35,Müller Philipp (2005),26.75,(2005)
38,Heinzer Ronny *,8.50,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
33 g,Hotz Basil,34.25,Basil
34 c,Waser David,34.00,David
36,Häﬂiger Patrick,10.00,Patrick
