place,name,points,level
1,Reichmuth Pirmin ***,59.00,***
4,Schurtenberger Sven ***,57.75,***
6 a,Gloggner Philipp ***,57.00,***
6 d,Schuler Christian ***,57.00,***
6 g,Gwerder Michael **,57.00,**
7 c,Ambühl Joel **,56.75,**
8 c,Gobeli Patrick **,56.50,**
10 b,Herger Matthias **,55.75,**
Inner,weizer Schwingerverband,,Schwingerverband
2,Wicki Joel **,58.50,**
5 a,Mathis Marcel ***,57.25,***
6 b,Gerber Christian **,57.00,**
6 e,Müllestein Mike ***,57.00,***
7 a,von Weissenﬂuh Kilian **,56.75,**
8 a,Wiget Michael **,56.50,**
9,Zenger Niklaus ***,56.00,***
10 c,Stöckli Damian *,55.75,*
3,Aeschbacher Matthias **,58.25,**
5 b,Bieri Marcel **,57.25,**
6 c,Suppiger René ***,57.00,***
6 f,Kämpf Bernhard ***,57.00,***
7 b,Roth Dominik **,56.75,**
8 b,Wenger Kilian ***,56.50,***
10 a,von Ah Benji ***,55.75,***
10 d,Gwerder Dario **,55.75,**
11 a,Luginbühl Hanspeter **,55.50,**
11 d,Grossen John *,55.50,*
12 a,Zürcher Remo *,55.25,*
12 d,Gasser Dominik *,55.25,*
12 g,Betschart Rainer **,55.25,**
14 a,Sommer Roman *,54.75,*
14 d,Klossner Adrian *,54.75,*
14 g,Kramer Lario **,54.75,**
Inner,weizer Schwingerverband,,Schwingerverband
11 b,Arnold Stefan **,55.50,**
11 e,Anderegg Simon ***,55.50,***
12 b,Scheuber Lutz **,55.25,**
12 e,Aellen Florian *,55.25,*
13 a,Odermatt Christian **,55.00,**
14 b,Gnägi Florian ***,54.75,***
14 e,Hurschler Thomas **,54.75,**
14 h,Inniger Thomas **,54.75,**
11 c,Walther Adrian (2001) *,55.50,*
11 f,Hess Michael *,55.50,*
12 c,Schenk Patrick ***,55.25,***
12 f,Burch Jonas *,55.25,*
13 b,Ettlin Stefan **,55.00,**
14 c,Marti Stefan **,54.75,**
14 f,Brun Jonas **,54.75,**
14 i,Gasser Stefan **,54.75,**
14 j,Fankhauser Marco **,54.75,**
15 c,Staub Maël *,54.50,*
15 f,Rohrer Ueli *,54.50,*
15 i,Borcard Johann **,54.50,**
16 b,Kälin Roland **,54.25,**
16 e,Tschumi Lukas (2001) *,54.25,*
16 h,Iseli Marco **,54.25,**
17 b,Scheuner Michael *,54.00,*
17 e,Doppmann Urs **,54.00,**
Inner,weizer Schwingerverband,,Schwingerverband
15 a,Glarner Matthias ***,54.50,***
15 d,Schwander Severin **,54.50,**
15 g,Linggi Bruno **,54.50,**
15 j,Roschi Ruedi **,54.50,**
16 c,Wüthrich Niklaus **,54.25,**
16 f,Steinauer Adrian **,54.25,**
16 i,Vogel Remo **,54.25,**
17 c,Lang Sven **,54.00,**
18 a,Schuler Philipp **,53.75,**
15 b,Fankhauser Reto *,54.50,*
15 e,Rolli Martin **,54.50,**
15 h,Haenni Stéphane **,54.50,**
16 a,Brodard Augustin **,54.25,**
16 d,Weyermann Florian **,54.25,**
16 g,Matthey Mickaël **,54.25,**
17 a,Waber Lorenz *,54.00,*
17 d,Duplan Steve **,54.00,**
18 b,Bütikofer Lukas *,53.75,*
18 c,Durrer Nando *,53.75,*
19 a,Rohrer Ivan **,53.50,**
19 d,Reichmuth Roland *,53.50,*
20 c,Huber Alex *,53.25,*
21 b,Siegenthaler Tobias *,53.00,*
22 b,Grossenbacher Simon (2002) *,52.75,*
24,Schürpf Bruno *,45.75,*
26 b,Hadorn Christian *,35.50,*
26 e,von Büren Stephan **,35.50,**
Inner,weizer Schwingerverband,,Schwingerverband
18 d,Rohrer Marco **,53.75,**
19 b,Ramseier Thomas *,53.50,*
20 a,Zimmermann Martin **,53.25,**
20 d,Gloggner Reto **,53.25,**
21 c,Bernet Christoph *,53.00,*
22 c,Arnold Marcel *,52.75,*
25,Gapany Benjamin **,45.25,**
26 c,Graber Willy ***,35.50,***
26 f,Hofer Sven *,35.50,*
18 e,Ramseier Fritz **,53.75,**
19 c,Zangger Dominik *,53.50,*
20 b,Schlüchter Colin *,53.25,*
21 a,Lussi Marco **,53.00,**
22 a,Blaser Roman *,52.75,*
23,Lengacher Jonas **,46.00,**
26 a,Röthlisberger Simon *,35.50,*
26 d,Berger Lorenz **,35.50,**
26 g,Fink Bruno *,35.50,*
26 h,Colò Kilian **,35.50,**
28 b,Borcard Clovis *,35.00,*
29 c,Berger René **,34.75,**
30 c,Dufey Gil *,34.50,*
32 a,Riedo Fredy *,34.00,*
33 a,Rapin Florent *,25.75,*
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Inner,weizer Schwingerverband,,Schwingerverband
27,Lerch Jimmy *,35.25,*
29 a,Kämpf Alexander **,34.75,**
30 a,Moser Steven **,34.50,**
31 a,Thomet Adrian **,34.25,**
32 b,Loup Alexandre *,34.00,*
33 b,Kramer Dorian *,25.75,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
28 a,Murer Andy **,35.00,**
29 b,Arnold Raphael **,34.75,**
30 b,Roch Vincent **,34.50,**
31 b,Heinzer Stefan *,34.25,*
32 c,Crettaz Olivier *,34.00,*
34,Bürgler André *,8.75,*
