place,name,points,level
1,Bieri Marcel **,58.50,**
3 b,Schurtenberger Sven ***,57.25,***
5 a,Wicki Joel **,56.75,**
5 d,Reichmuth Marco **,56.75,**
5 g,Bucher Christian,56.75,Christian
6 b,Suter David **,56.50,**
6 e,Müller Michael **,56.50,**
7 b,Odermatt Christian **,56.25,**
2,Fankhauser Erich ***,57.50,***
3 c,Suppiger Werner **,57.25,**
5 b,Zimmermann Martin **,56.75,**
5 e,Brun Jonas **,56.75,**
5 h,Gwerder Dario **,56.75,**
6 c,Imhof Andi ***,56.50,***
6 f,Höﬂiger Andreas **,56.50,**
7 c,Kennel Stefan **,56.25,**
3 a,Schuler Christian ***,57.25,***
4,Reichmuth Armin *,57.00,*
5 c,Suppiger René ***,56.75,***
5 f,Gwerder Michael (2000),56.75,(2000)
6 a,Vonlaufen Alexander **,56.50,**
6 d,Bürli Roger **,56.50,**
7 a,Oertig Dominik **,56.25,**
7 d,Laimbacher Philipp ***,56.25,***
7 e,Hasler Florian **,56.25,**
8 a,Linggi Bruno **,56.00,**
8 d,Egli Damian **,56.00,**
9 a,Elsener Adrian **,55.75,**
9 d,Lang Sven *,55.75,*
9 g,Ambühl Joel *,55.75,*
9 j,Bucher Thomas,55.75,Thomas
10 a,Nötzli Bruno ***,55.50,***
10 d,Ottiger Lukas,55.50,Lukas
7 f,Grab Martin ***,56.25,***
8 b,Nötzli Reto ***,56.00,***
8 e,Arnold Marcel,56.00,Marcel
9 b,Muﬀ André *,55.75,*
9 e,Heinzer Ronny,55.75,Ronny
9 h,Herger Matthias **,55.75,**
9 k,Rohrer Ueli (1999),55.75,(1999)
10 b,Hirsiger Alexander,55.50,Alexander
10 e,Oertig Adrian **,55.50,**
7 g,Gasser Stefan **,56.25,**
8 c,Hegner Ueli (1999),56.00,(1999)
8 f,Arnold Raphael *,56.00,*
9 c,Lustenberger Josef,55.75,Josef
9 f,Bernhard Lukas *,55.75,*
9 i,Felder Martin,55.75,Martin
9 l,Odermatt Remo *,55.75,*
10 c,Bürgler Lukas *,55.50,*
10 f,Imfeld Beat,55.50,Beat
10 g,Herger Andreas,55.50,Andreas
10 j,Burch Jonas (1999),55.50,(1999)
11 c,Ettlin Martin,55.25,Martin
11 f,Streiﬀ Dominik,55.25,Dominik
11 i,Elsener Peter **,55.25,**
12 c,Gisler Jonas (2001),55.00,(2001)
12 f,Muﬀ Armin **,55.00,**
13 b,Gander Martin,54.75,Martin
13 e,Barmet Sven,54.75,Sven
10 h,Durrer Fabian (1999),55.50,(1999)
11 a,Stadelmann Ron,55.25,Ron
11 d,Eﬃnger Markus *,55.25,*
11 g,Moos Christoph,55.25,Christoph
12 a,Bieri Christian **,55.00,**
12 d,Gabriel Christian (2000),55.00,(2000)
12 g,Gassmann Michael *,55.00,*
13 c,Della Torre Simon,54.75,Simon
13 f,Reichmuth Roland,54.75,Roland
10 i,Niederberger Markus *,55.50,*
11 b,Spichtig Clemens,55.25,Clemens
11 e,Schuler Philipp **,55.25,**
11 h,Mathis Marcel ***,55.25,***
12 b,Jund Matthias (1999),55.00,(1999)
12 e,Baumann Lukas,55.00,Lukas
13 a,Odermatt Sepp,54.75,Sepp
13 d,Dober Adrian **,54.75,**
13 g,Herger Lukas,54.75,Lukas
13 h,Elsener Manuel,54.75,Manuel
14 a,Arnold Fabian,54.50,Fabian
14 d,Amgarten Roman *,54.50,*
14 g,Suter Beat,54.50,Beat
14 j,Lagler Christian,54.50,Christian
14 m,Elmer Daniel *,54.50,*
14 p,Betschart Marcel,54.50,Marcel
14 s,Schärli Reto,54.50,Reto
15 b,Rüegg Roman *,54.25,*
13 i,Arnold Andreas *,54.75,*
14 b,Käslin Ruedi *,54.50,*
14 e,Zemp Christian (2000),54.50,(2000)
14 h,Suppiger Thomas,54.50,Thomas
14 k,Heinzer Stefan *,54.50,*
14 n,Bingisser Roman,54.50,Roman
14 q,Barmettler Peter *,54.50,*
14 t,Bieri Elias,54.50,Elias
15 c,Murer Remo,54.25,Remo
13 j,Ulrich Pascal (1999),54.75,(1999)
14 c,Elsener Marcel,54.50,Marcel
14 f,Walker Roger,54.50,Roger
14 i,Supper Frederik,54.50,Frederik
14 l,Gerber Peter,54.50,Peter
14 o,Binggeli Stefan *,54.50,*
14 r,Zemp Thomas *,54.50,*
15 a,Schmid Simon (2000),54.25,(2000)
15 d,Lussi Marco *,54.25,*
15 e,Hösli Fritz *,54.25,*
15 h,Bucher Roland *,54.25,*
15 k,Suter Samuel (1999),54.25,(1999)
15 n,Klauser Nico,54.25,Nico
15 q,Baumann Roger *,54.25,*
15 t,Nussbaumer Gabriel,54.25,Gabriel
16 a,Hurschler Adrian,54.00,Adrian
16 d,Suter Raphael (2000),54.00,(2000)
16 g,Bacher Andreas,54.00,Andreas
15 f,Gwerder Carlo **,54.25,**
15 i,Wetzstein Adrian,54.25,Adrian
15 l,Steiner Severin (2001),54.25,(2001)
15 o,Hürlimann Mathias (2000),54.25,(2000)
15 r,Zimmermann Daniel *,54.25,*
15 u,Hauser Roman (2000),54.25,(2000)
16 b,Bucher Thomas,54.00,Thomas
16 e,Müller Mathias,54.00,Mathias
16 h,Gwerder Beni,54.00,Beni
15 g,Graber Sandro,54.25,Sandro
15 j,Vogel Beat *,54.25,*
15 m,Röthlin Pascal,54.25,Pascal
15 p,Bürgi Reto *,54.25,*
15 s,Vogel Manuel,54.25,Manuel
15 v,Gut Koni,54.25,Koni
16 c,Ulrich Livio (1999),54.00,(1999)
16 f,Baur Martin,54.00,Martin
16 i,Facchini Oscar,54.00,Oscar
17 a,Rüttimann Daniel,53.75,Daniel
17 d,Birchler Fabian (2000),53.75,(2000)
18 c,Schmid Pius (1999),53.50,(1999)
18 f,Beﬀa Mario,53.50,Mario
19 c,Kaufmann Jens,53.25,Jens
19 f,von Deschwanden Patrick,53.25,Patrick
20 a,Vogel Marcel,53.00,Marcel
20 d,Bär Leo,53.00,Leo
20 g,Ming Hannes,53.00,Hannes
17 b,Rohrer Marco (1999),53.75,(1999)
18 a,Widmer Dominik,53.50,Dominik
18 d,Müller Dominik,53.50,Dominik
19 a,Zanini David (2000),53.25,(2000)
19 d,Gwerder Dominik,53.25,Dominik
19 g,Meier Daniel (2000),53.25,(2000)
20 b,Reichmuth Lukas (2000),53.00,(2000)
20 e,Hurschler Mauri (1999),53.00,(1999)
21 a,Schaller Noah (2000),52.75,(2000)
17 c,Wicki Kevin,53.75,Kevin
18 b,Blattmann Philipp (2000),53.50,(2000)
18 e,Bucher André (2001),53.50,(2001)
19 b,von Ah Markus,53.25,Markus
19 e,Büsser André,53.25,André
19 h,Forster Christian,53.25,Christian
20 c,Murpf Dario (1999),53.00,(1999)
20 f,Staub Ivan (1999),53.00,(1999)
21 b,Inderbitzin Urs,52.75,Urs
22,Staub Devin,44.75,Devin
25,Nauer Robin,35.75,Robin
26 c,Rust Sandro (1999),35.50,(1999)
26 f,Kennel Roger (1999),35.50,(1999)
26 i,Vogler Daniel *,35.50,*
26 l,Jud Reto (2001),35.50,(2001)
26 o,Arnold David,35.50,David
27 b,Suter Ruedi,35.25,Ruedi
27 e,Meier Andreas,35.25,Andreas
27 h,Blattmann Jonas (1999),35.25,(1999)
27 k,Arnold Samuel (2001),35.25,(2001)
29 a,Ziegler Moritz,34.50,Moritz
23,Waser Dominik **,37.25,**
26 a,von Wyl Simon (1999),35.50,(1999)
26 d,Rohrer Timo (2001),35.50,(2001)
26 g,Käslin Valentin (2000),35.50,(2000)
26 j,Stutzer Michael (1999),35.50,(1999)
26 m,Hurschler Michael,35.50,Michael
26 p,Albert Thomas,35.50,Thomas
27 c,Muﬀ Reto,35.25,Reto
27 f,Gisler Patrick,35.25,Patrick
27 i,Bernet Raﬀael,35.25,Raﬀael
27 l,Reber Sandro,35.25,Sandro
29 b,Zimmermann Armin,34.50,Armin
24,Häﬂiger Patrick,36.50,Patrick
26 b,Thalmann Thomas *,35.50,*
26 e,Pedrazzini Diego,35.50,Diego
26 h,Baumann Marco,35.50,Marco
26 k,Meier Marcel,35.50,Marcel
26 n,Di Pietro Loris,35.50,Loris
27 a,Zimmermann Reto,35.25,Reto
27 d,Mignola Lorenzo,35.25,Lorenzo
27 g,Bucher Sandro (2000),35.25,(2000)
27 j,Arnold Sebastian,35.25,Sebastian
28,Wyrsch Hansi (1999),35.00,(1999)
29 c,Egli Christian,34.50,Christian
30 a,Mignola Michele (2000),34.25,(2000)
30 d,Arnold Marco (2001),34.25,(2001)
31 c,Ettlin Kevin (2001),34.00,(2001)
32,Betschart Remo **,8.75,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
30 b,Imholz Elias (1999),34.25,(1999)
31 a,Zgraggen Sandro (2001),34.00,(2001)
31 d,Crotta Robin (2001),34.00,(2001)
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
30 c,Gubbi Pablo (2000),34.25,(2000)
31 b,Langenegger Raﬀael (2001),34.00,(2001)
31 e,Crotta Alessio (1999),34.00,(1999)
