place,name,points,level
1,Stucki Christian ***,59.75,***
4 a,Siegenthaler Matthias ***,57.25,***
4 d,Bieri Christoph ***,57.25,***
6 a,Luginbühl Hanspeter **,56.75,**
7 a,Stalder Remo ***,56.50,***
8 a,Röthlisberger Simon *,56.25,*
8 d,Roth Dominik *,56.25,*
9 b,Lauper Hansruedi ***,56.00,***
10 b,von Büren Stephan *,55.75,*
Berni,-kantonaler Schwingerverband,,Schwingerverband
2,Sempach Thomas ***,58.00,***
4 b,Zaugg Thomas ***,57.25,***
5 a,Schuler Christian ***,57.00,***
6 b,Bloch Dominic **,56.75,**
7 b,Anderegg Simon ***,56.50,***
8 b,Moser Michael *,56.25,*
8 e,Imhof Andi ***,56.25,***
9 c,Gerber Christian **,56.00,**
10 c,Joss David,55.75,David
3,Lengacher Jonas **,57.50,**
4 c,Gnägi Florian ***,57.25,***
5 b,Käser Remo **,57.00,**
6 c,Kämpf Bernhard ***,56.75,***
7 c,Wyss Kilian **,56.50,**
8 c,Aeschbacher Matthias **,56.25,**
9 a,Wickli Beat **,56.00,**
10 a,Glarner Matthias ***,55.75,***
10 d,Schenkel Adrian **,55.75,**
10 e,Iseli Marco (1997),55.75,(1997)
11 a,Schütz Urs **,55.50,**
11 d,Roth Philipp *,55.50,*
11 g,Roschi Ruedi **,55.50,**
12 a,Zenger Niklaus ***,55.25,***
12 d,Mathys Simon *,55.25,*
12 g,Wälchli Roger *,55.25,*
13 a,Wüthrich Niklaus **,55.00,**
13 d,Gobeli Patrick (1998) *,55.00,*
Berni,-kantonaler Schwingerverband,,Schwingerverband
10 f,Binggeli Dominik *,55.75,*
11 b,Zwyssig Raphael ***,55.50,***
11 e,Rhyner Michael **,55.50,**
11 h,Schenkel Remo *,55.50,*
12 b,Wüthrich Philip,55.25,Philip
12 e,Blaser Roman *,55.25,*
12 h,Leuenberger Michael 2 **,55.25,**
13 b,Schlüchter Colin (1997) *,55.00,*
13 e,Dumelin David *,55.00,*
10 g,Dind Samuel **,55.75,**
11 c,Zehnder Jürg *,55.50,*
11 f,Weyermann Florian *,55.50,*
11 i,Kropf Thomas *,55.50,*
12 c,Reust Markus *,55.25,*
12 f,Berger René **,55.25,**
12 i,Kappeler Ruedi,55.25,Ruedi
13 c,Renfer Lukas *,55.00,*
13 f,Leuenberger Michael 1 *,55.00,*
13 g,Michel Jonas *,55.00,*
14 c,Kämpf Marcel *,54.75,*
14 f,Fankhauser Reto *,54.75,*
15 b,Wittwer Josias *,54.50,*
15 e,Zbinden Reto *,54.50,*
15 h,Meuter Adrian **,54.50,**
15 k,Fankhauser Thomas,54.50,Thomas
16 b,Tschanz Richard *,54.25,*
16 e,Gäggeler Adrian *,54.25,*
Berni,-kantonaler Schwingerverband,,Schwingerverband
14 a,Waber Lorenz *,54.75,*
14 d,Schenk Patrick **,54.75,**
14 g,Studer Stefan **,54.75,**
15 c,Stämpﬂi Lorenz,54.50,Lorenz
15 f,Schmid Reto **,54.50,**
15 i,Klossner Adrian *,54.50,*
15 l,Steﬀen Gustav *,54.50,*
16 c,Meyer Reto *,54.25,*
16 f,Zürcher Kurt *,54.25,*
14 b,Urfer Simon *,54.75,*
14 e,Graber Alfred *,54.75,*
15 a,Riesen Julian,54.50,Julian
15 d,Brunner Marcel *,54.50,*
15 g,Ramseier Fritz *,54.50,*
15 j,Reichen Stefan,54.50,Stefan
16 a,Zürcher Remo *,54.25,*
16 d,Kämpf Lorenz *,54.25,*
16 g,Pulfer Thomas *,54.25,*
16 h,Mosimann Fabian,54.25,Fabian
17 a,Borcard Johann **,54.00,**
