place,name,points,level
1,Bösch Daniel ***,59.50,***
3 b,Rhyner Michael **,57.50,**
4 b,Rotach Lars,57.25,Lars
5 b,Peng Mike ***,57.00,***
5 e,Roth Martin **,57.00,**
5 h,Schläpfer Matthias *,57.00,*
5 k,Bärtsch Fabian,57.00,Fabian
6 c,Büsser André *,56.75,*
St. Ga,n,,n
2,Kuster Marcel ***,57.75,***
3 c,Kamer Hanspeter *,57.50,*
4 c,Bollhalder Manuel (2001),57.25,(2001)
5 c,Geisser Lars **,57.00,**
5 f,Räbsamen Marcel *,57.00,*
5 i,Rüegg Fabian *,57.00,*
6 a,Gmür Pirmin **,56.75,**
6 d,Schlegel Reto *,56.75,*
3 a,Riget Tobias **,57.50,**
4 a,Wetter Silvan,57.25,Silvan
5 a,Ott Damian **,57.00,**
5 d,Forrer Arnold ***,57.00,***
5 g,Bless Michael ***,57.00,***
5 j,Koch Thomas *,57.00,*
6 b,Fausch Kjetil *,56.75,*
6 e,Koch Reto *,56.75,*
6 f,Heierli Pascal *,56.75,*
7 b,Wey Nicola *,56.50,*
7 e,Giger Urs *,56.50,*
8 c,Badat Thomas,56.25,Thomas
8 f,Bernold Christian **,56.25,**
9 c,Scheiwiller Andreas *,56.00,*
9 f,Niederer Andreas (2002),56.00,(2002)
9 i,Martin Dominik,56.00,Dominik
10 a,Zwyssig Raphael ***,55.75,***
St. Ga,n,,n
6 g,Arztmann Beda *,56.75,*
7 c,Schlegel Werner (2002) *,56.50,*
8 a,Schläpfer Markus **,56.25,**
8 d,Schlegel Sandro **,56.25,**
9 a,Hobi Ignaz,56.00,Ignaz
9 d,Roth Michael,56.00,Michael
9 g,Wittenwiler Roman *,56.00,*
9 j,Baumann Rico *,56.00,*
10 b,Fontana Michael *,55.75,*
7 a,Bernold Michael *,56.50,*
7 d,Good Marco *,56.50,*
8 b,Poltera Andrin *,56.25,*
8 e,Fuster Sepp *,56.25,*
9 b,Schnurrenberger Roman **,56.00,**
9 e,Riget Ivan *,56.00,*
9 h,Rüegg Roman *,56.00,*
9 k,Schmid Patrick *,56.00,*
10 c,Ueltschi Patric *,55.75,*
10 d,Schudel Simon *,55.75,*
10 g,Elmer Daniel *,55.75,*
11 b,Vollmeier Sandro,55.50,Sandro
11 e,Pﬁster Florian *,55.50,*
11 h,Graf Nicola (2003),55.50,(2003)
11 k,Battaglia Ursin **,55.50,**
12 c,Flück Bruno,55.25,Bruno
12 f,Lieberherr David (2003),55.25,(2003)
12 i,Galli Cedric (2001),55.25,(2001)
St. Ga,n,,n
10 e,Lieberherr Michael,55.75,Michael
10 h,Bosshard Dario,55.75,Dario
11 c,Kuster Thomas *,55.50,*
11 f,Knellwolf Sebastian (2001),55.50,(2001)
11 i,Egli Martin,55.50,Martin
12 a,Oertle Daniel *,55.25,*
12 d,Bürgler Patrick,55.25,Patrick
12 g,Lehmann Philipp *,55.25,*
12 j,Breitenmoser Simon,55.25,Simon
10 f,Gwerder Andreas **,55.75,**
11 a,Rüegg Patrick,55.50,Patrick
11 d,Büsser Remo,55.50,Remo
11 g,Jörger Corsin,55.50,Corsin
11 j,Biäsch Christian *,55.50,*
12 b,Giger Florian (2001),55.25,(2001)
12 e,Schmid Gian (2003),55.25,(2003)
12 h,Lanter Christian *,55.25,*
12 k,Baumgartner Ramon (2002),55.25,(2002)
12 l,Arnold Christian,55.25,Christian
13 b,Wild Thomas,55.00,Thomas
13 e,Raschle Urban (2003),55.00,(2003)
13 h,Blaser Christian *,55.00,*
14 b,Egli Ramon (2001),54.75,(2001)
14 e,Castelli Fabio,54.75,Fabio
15 a,Ziegler Michael,54.50,Michael
15 d,Stadelmann Patrick,54.50,Patrick
15 g,Forrer Marco (2003),54.50,(2003)
St. Ga,n,,n
12 m,Wicki Cédric,55.25,Cédric
13 c,Steiner Joel,55.00,Joel
13 f,Eisenring Leandro,55.00,Leandro
13 i,Breitenmoser Manuel *,55.00,*
14 c,Schmid Reto,54.75,Reto
14 f,Lozza Roman,54.75,Roman
15 b,Kiener Raphael,54.50,Raphael
15 e,Bischof Martin,54.50,Martin
16 a,Schönenberger Björn,54.25,Björn
