place,name,points,level
1 a,Schuler Christian ***,58.25,***
2,Laimbacher Adrian ***,57.75,***
3 c,Betschart Remo **,57.25,**
3 f,Betschart Rainer **,57.25,**
4 c,Schurtenberger Sven **,57.00,**
5 b,Schuler Alex **,56.75,**
5 e,Ulrich Florian *,56.75,*
6 b,Suter David **,56.50,**
6 e,Fassbind René,56.50,René
1 b,Ulrich Andreas ***,58.25,***
3 a,Waser Dominik *,57.25,*
3 d,Scheidegger Philipp **,57.25,**
4 a,Murer Andy *,57.00,*
4 d,Reichmuth Armin *,57.00,*
5 c,Schelbert Ralf *,56.75,*
5 f,Bucher Roland,56.75,Roland
6 c,Kennel Stefan *,56.50,*
6 f,Müller Bruno ***,56.50,***
1 c,Laimbacher Philipp ***,58.25,***
3 b,Reichmuth Marco (1997),57.25,(1997)
3 e,Bieri Marcel **,57.25,**
4 b,Wicki Joel (1997) **,57.00,**
5 a,Villiger Cyrill *,56.75,*
5 d,Nötzli Bruno ***,56.75,***
6 a,Bieri Christian *,56.50,*
6 d,Grab Martin ***,56.50,***
7 a,Gwerder Andreas *,56.25,*
7 b,Fässler Dominic *,56.25,*
8 a,Corvi Dominik,56.00,Dominik
8 d,Gwerder Carlo **,56.00,**
9 b,Theiler Beat *,55.75,*
9 e,Föhn Pirmin *,55.75,*
9 h,Waser Reto *,55.75,*
9 k,Kennel Beat *,55.75,*
10 c,Spichtig Markus *,55.50,*
10 f,Lagler Christian,55.50,Christian
7 c,Zurﬂuh Markus **,56.25,**
8 b,Linggi Bruno **,56.00,**
8 e,Höﬂiger Andreas *,56.00,*
9 c,Streiﬀ Dominik,55.75,Dominik
9 f,Egli Manuel *,55.75,*
9 i,Schmid Köbi,55.75,Köbi
10 a,Suter Kari,55.50,Kari
10 d,Schuler Philipp **,55.50,**
10 g,Heinzer Stefan *,55.50,*
7 d,Müllestein Mike **,56.25,**
8 c,Lang Sven (1998),56.00,(1998)
9 a,Elsener Adrian *,55.75,*
9 d,Keller Janik,55.75,Janik
9 g,Egli David *,55.75,*
9 j,Bircher Vital *,55.75,*
10 b,Stadelmann Ron,55.50,Ron
10 e,Mathis Marcel ***,55.50,***
10 h,Elsener Marcel,55.50,Marcel
10 i,Arnold Marcel,55.50,Marcel
10 l,Inderbitzin Daniel *,55.50,*
11 a,Zgraggen Fabian,55.25,Fabian
11 d,Walker Roger,55.25,Roger
12 a,Schuler Daniel,55.00,Daniel
12 d,Zimmermann Martin *,55.00,*
12 g,Moos Christoph,55.00,Christoph
12 j,Zimmermann Martin **,55.00,**
12 m,Gut Koni,55.00,Koni
10 j,Ulrich Martin,55.50,Martin
10 m,Gwerder Beni,55.50,Beni
11 b,Weber Ivo,55.25,Ivo
11 e,Bucher Christian (1998),55.25,(1998)
12 b,Rolli Ueli,55.00,Ueli
12 e,Hösli Fritz *,55.00,*
12 h,Gwerder Dario (1997),55.00,(1997)
12 k,Suter Beat,55.00,Beat
