place,name,points,level
1,Rychen Roger ***,58.50,***
4 a,Räbsamen Marcel **,57.25,**
5 b,Ackermann Remo *,57.00,*
5 e,Voggensperger Janic **,57.00,**
6 b,Lehmann Philipp *,56.75,*
6 e,Riget Florian **,56.75,**
6 h,Loup Alexandre *,56.75,*
7 b,Hugelshofer Lars *,56.50,*
2,Giger Samuel ***,58.25,***
4 b,Schlegel Werner **,57.25,**
5 c,Dändliker Shane **,57.00,**
5 f,Wey Nicola *,57.00,*
6 c,Nägeli Marco **,56.75,**
6 f,Koch Thomas *,56.75,*
6 i,Winzeler Simon,56.75,Simon
7 c,Roth Martin ***,56.50,***
3,Bless Michael ***,57.75,***
5 a,Arztmann Beda **,57.00,**
5 d,Leuppi Samir ***,57.00,***
6 a,Burkhalter Stefan ***,56.75,***
6 d,Odermatt Gian Maria (2004) *,56.75,*
6 g,Lanter Christian *,56.75,*
7 a,Bickel Roman *,56.50,*
8 a,Nock Benjamin *,56.25,*
8 b,Elmer Adrian *,56.25,*
8 e,Schnurrenberger Roman **,56.25,**
9 c,Collaud Romain **,56.00,**
10 a,Good Marco **,55.75,**
10 d,Keller Dominic,55.75,Dominic
10 g,Schwyn Patrick,55.75,Patrick
11 c,Dumelin David **,55.50,**
11 f,Brunner Dominik (2004),55.50,(2004)
8 c,Ott Damian **,56.25,**
9 a,Schneider Mario **,56.00,**
9 d,Anliker Andri,56.00,Andri
10 b,Notz Beni ***,55.75,***
10 e,Koch Reto *,55.75,*
11 a,Anliker Nino (2005),55.50,(2005)
11 d,Kuster Thomas **,55.50,**
11 g,Geisser Lars **,55.50,**
8 d,Funk Nicola *,56.25,*
9 b,Signer Andy *,56.00,*
9 e,Bucher Roman,56.00,Roman
10 c,Ochsner Reto,55.75,Reto
10 f,Rüegg Patrick,55.75,Patrick
11 b,Bieri Christian **,55.50,**
11 e,Rotach Lars *,55.50,*
11 h,Koller Silvan *,55.50,*
11 i,Peter Philipp,55.50,Philipp
12 b,Büchler Livio,55.25,Livio
12 e,Lacher Tobias (2005),55.25,(2005)
12 h,Ammann Rico *,55.25,*
12 k,Giger Florian,55.25,Florian
12 n,Spörndli Cyril,55.25,Cyril
13 a,Ackermann Rico *,55.00,*
13 d,Fallegger Marc,55.00,Marc
11 j,Kundert Elias (2005),55.50,(2005)
12 c,Bühler Hannes *,55.25,*
12 f,Wetter Silvan *,55.25,*
12 i,Bernold Edi **,55.25,**
12 l,Lenherr Cédric *,55.25,*
12 o,Stauﬀacher Martin,55.25,Martin
13 b,Bachmann Janos (2004),55.00,(2004)
13 e,Koller Fabian *,55.00,*
12 a,Bernold Michael *,55.25,*
12 d,Hari Michi,55.25,Michi
12 g,Wingeier Janik,55.25,Janik
12 j,Bürgler Patrick *,55.25,*
12 m,Schwyn Adrian *,55.25,*
12 p,Feldmann Patrik (2005),55.25,(2005)
13 c,Blaser Christian **,55.00,**
13 f,Loup Grégoire,55.00,Grégoire
13 g,Nüesch Sandro (2005),55.00,(2005)
13 j,Wittenwiler Roman *,55.00,*
14 b,Buﬀ Alwin,54.75,Alwin
14 e,Kindlimann Fabian ***,54.75,***
14 h,Kiser Aron,54.75,Aron
