place,name,points,level
1,Bieri Marcel ***,58.50,***
3 b,Schürpf Bruno *,57.50,*
4 b,Burch Jonas **,57.25,**
5 c,Waser Dominik **,57.00,**
5 f,Lemmenmeier Lukas *,57.00,*
5 i,Wyrsch Silvio *,57.00,*
6 b,Vogel Remo **,56.75,**
7 a,Nötzli Reto ***,56.50,***
2,Fankhauser Marco **,58.00,**
3 c,Betschart Patrick *,57.50,*
5 a,Ambühl Joel **,57.00,**
5 d,Vogel Marcel,57.00,Marcel
5 g,Lang Sven **,57.00,**
5 j,Huber Alex *,57.00,*
6 c,Odermatt Christian **,56.75,**
7 b,Bissig Lukas (2003) *,56.50,*
3 a,Reichmuth Marco **,57.50,**
4 a,Schuler Christian ***,57.25,***
5 b,Wicki David,57.00,David
5 e,Lustenberger Josef *,57.00,*
5 h,Imhof Andi ***,57.00,***
6 a,Hurschler Thomas **,56.75,**
6 d,Jund Matthias,56.75,Matthias
7 c,Arnold Stefan **,56.50,**
7 d,Herger Matthias **,56.50,**
7 g,Reichmuth Roland *,56.50,*
8 c,Schöpfer Ronny **,56.25,**
9 c,von Euw Lukas *,56.00,*
9 f,Schärli Reto *,56.00,*
10 b,Scherrer Fabian *,55.75,*
10 e,Lustenberger Tim (2005),55.75,(2005)
10 h,Kaiser Sandro,55.75,Sandro
10 k,Egli Adrian,55.75,Adrian
7 e,Hegner Ueli *,56.50,*
8 a,Egli Damian **,56.25,**
9 a,Lüthy Ralph,56.00,Ralph
9 d,Schuler Philipp **,56.00,**
9 g,Reichmuth Lukas *,56.00,*
10 c,Omlin Toni *,55.75,*
10 f,Lustenberger Marc (2003) *,55.75,*
10 i,Graber Michael *,55.75,*
10 l,Bucher André,55.75,André
7 f,Stöckli Damian *,56.50,*
8 b,Suter Pirmin **,56.25,**
9 b,Zimmermann Martin ***,56.00,***
9 e,Scherer Niklaus **,56.00,**
10 a,Bühler Kilian,55.75,Kilian
10 d,Müller Luca (2004),55.75,(2004)
10 g,Kaufmann Reto *,55.75,*
10 j,Elmiger Matthias,55.75,Matthias
10 m,Bernhard Lukas **,55.75,**
10 n,Gander Adrian *,55.75,*
11 c,Bucher Thomas *,55.50,*
11 f,Hürlimann Marco,55.50,Marco
11 i,Elsener Marcel *,55.50,*
11 l,Bucher Christian **,55.50,**
12 a,Beﬀa Mario,55.25,Mario
12 d,Rust Sandro,55.25,Sandro
12 g,Hürlimann Mathias *,55.25,*
