place,name,points,level
1,Bless Michael ***,60.00,***
3 a,Oertig Dominik **,57.50,**
4 b,Baumann Rico *,57.25,*
5 a,Kuster Marcel ***,57.00,***
5 d,Schudel Simon *,57.00,*
6 b,Dändliker Shane **,56.75,**
6 e,Wey Nicola *,56.75,*
7 c,Schläpfer Matthias *,56.50,*
Schaﬀ,usen,,usen
2 a,Schneider Domenic ***,57.75,***
3 b,Lehmann Philipp,57.50,Philipp
4 c,Burkhalter Stefan ***,57.25,***
5 b,Bernold Christian **,57.00,**
5 e,Vollenweider Jeremy *,57.00,*
6 c,Krähenbühl Tobias ***,56.75,***
7 a,Schläpfer Markus **,56.50,**
7 d,Schwyn Adrian *,56.50,*
2 b,Schlegel Sandro **,57.75,**
4 a,Notz Beni ***,57.25,***
4 d,Rhyner Michael **,57.25,**
5 c,Hersche Martin ***,57.00,***
6 a,Zwyssig Raphael ***,56.75,***
6 d,Landolt Reto *,56.75,*
7 b,Elmer Daniel *,56.50,*
8 a,Oettli Marco *,56.25,*
8 b,Dörig Erich *,56.25,*
9 b,Schlegel Werner (2002) *,56.00,*
10 b,Arztmann Beda *,55.75,*
10 e,Keller Dominic,55.75,Dominic
10 h,Giger Urs *,55.75,*
11 a,Straub Robin *,55.50,*
11 d,Lanter Christian,55.50,Christian
11 g,Reichmuth Beat,55.50,Beat
12 a,Funk Nicola *,55.25,*
Schaﬀ,usen,,usen
8 c,Mettler Valentin *,56.25,*
9 c,Ackermann Remo *,56.00,*
10 c,Bühler Ernst **,55.75,**
10 f,Keller Manuel *,55.75,*
10 i,Inauen Aurel,55.75,Aurel
11 b,Bärtsch Fabian (2000),55.50,(2000)
11 e,Schmid Patrick *,55.50,*
11 h,Roth David,55.50,David
12 b,Inauen Marco,55.25,Marco
9 a,Gmür Pirmin **,56.00,**
10 a,Holenstein Christian *,55.75,*
10 d,Junker Nik,55.75,Nik
10 g,Bürgler Patrick,55.75,Patrick
10 j,Winzeler Dominik (2000),55.75,(2000)
11 c,Hodler Mathias,55.50,Mathias
11 f,Jörger Corsin,55.50,Corsin
11 i,Rüegg Fabian *,55.50,*
12 c,Roth Michael,55.25,Michael
12 d,Stadelmann Patrick (2000),55.25,(2000)
12 g,Buchmann Michael,55.25,Michael
12 j,Fässler Michael,55.25,Michael
12 m,Hobi Ignaz,55.25,Ignaz
12 p,Winzeler Simon (2000),55.25,(2000)
13 b,Kobler Janosch (2000),55.00,(2000)
14 b,Zumbach Michael,54.75,Michael
14 e,Schwyn Patrick,54.75,Patrick
15 b,Scherrer Willi,54.50,Willi
Schaﬀ,usen,,usen
