place,name,points,level
1,Müllestein Mike **,58.75,**
3 b,Laimbacher Adrian ***,57.50,***
4 b,Nötzli Bruno ***,57.25,***
5 a,Schuler Alex **,57.00,**
5 d,Wicki Joel (1997) **,57.00,**
6 b,Scheuber Lutz **,56.75,**
6 e,Kennel Stefan *,56.75,*
6 h,Bernhard Lukas *,56.75,*
6 k,Bieri Marcel **,56.75,**
2,Ulrich Andreas ***,58.25,***
3 c,Laimbacher Philipp ***,57.50,***
4 c,Gwerder Andreas,57.25,Andreas
5 b,Schelbert Ralf,57.00,Ralf
5 e,Höﬂiger Andreas *,57.00,*
6 c,Elsener Adrian *,56.75,*
6 f,Heinzer Stefan *,56.75,*
6 i,Müller Bruno ***,56.75,***
7 a,Linggi Bruno **,56.50,**
3 a,Grab Martin ***,57.50,***
4 a,Ulrich Florian *,57.25,*
4 d,Blaser Theo,57.25,Theo
5 c,Forster Adrian **,57.00,**
6 a,Suter David **,56.75,**
6 d,Steinauer Adrian **,56.75,**
6 g,Betschart Rainer **,56.75,**
6 j,Grab Daniel,56.75,Daniel
7 b,Gwerder Carlo **,56.50,**
7 c,Suppiger René **,56.50,**
7 f,Betschart Silvan,56.50,Silvan
8 a,Kennel Beat *,56.25,*
9 a,Wyrsch Marco *,56.00,*
9 d,Corvi Dominik,56.00,Dominik
10 a,Waser Dominik *,55.75,*
10 d,Fassbind René,55.75,René
10 g,Gwerder Dario (1997),55.75,(1997)
10 j,Elsener Peter **,55.75,**
7 d,Mahrer Jürg **,56.50,**
7 g,Schuler Philipp **,56.50,**
8 b,Kempf Elias **,56.25,**
9 b,Inderbitzin Daniel *,56.00,*
9 e,Suter Paul,56.00,Paul
10 b,Lüönd Andreas **,55.75,**
10 e,Zurﬂuh Roman,55.75,Roman
10 h,Gwerder Beni,55.75,Beni
11 a,Hösli Fritz *,55.50,*
7 e,Diener Pirmin,56.50,Pirmin
7 h,Nötzli Reto ***,56.50,***
8 c,Betschart Remo **,56.25,**
9 c,Hess Dominik,56.00,Dominik
9 f,Schuler Christian ***,56.00,***
10 c,Kenel Franz-Toni *,55.75,*
10 f,Theiler Beat *,55.75,*
10 i,Bucher Thomas,55.75,Thomas
11 b,Bürli Roger (1997),55.50,(1997)
11 c,Waser Reto *,55.50,*
11 f,Schmid Köbi,55.50,Köbi
11 i,Gwerder Guido **,55.50,**
12 c,Ulrich Marco (1997),55.25,(1997)
12 f,Betschart Ernst,55.25,Ernst
12 i,Odermatt Sepp **,55.25,**
12 l,Bürgi Tobias,55.25,Tobias
13 a,Eﬃnger Markus *,55.00,*
13 d,Schürpf Bruno,55.00,Bruno
11 d,Reichmuth Marco (1997),55.50,(1997)
11 g,Schmid David **,55.50,**
12 a,Keller Janik,55.25,Janik
12 d,Schelbert Roman,55.25,Roman
12 g,Zimmermann Armin,55.25,Armin
12 j,Kälin Roland **,55.25,**
12 m,Betschart Marcel,55.25,Marcel
13 b,Bucher Roland,55.00,Roland
13 e,Heinzer Josef,55.00,Josef
11 e,Betschart Daniel,55.50,Daniel
11 h,Märchy Sepp,55.50,Sepp
12 b,Weber Ivo,55.25,Ivo
12 e,Kälin Benedikt,55.25,Benedikt
12 h,Suter Beat,55.25,Beat
12 k,Gyr Roland,55.25,Roland
12 n,Laimbacher Alex,55.25,Alex
13 c,Ulrich Martin,55.00,Martin
13 f,Bienz Romeo (1997),55.00,(1997)
13 g,Hess Michael *,55.00,*
14 a,Bruhin Fredi (1997),54.75,(1997)
14 d,Streiﬀ Dominik,54.75,Dominik
14 g,Bircher Vital *,54.75,*
14 j,Elsener Marcel,54.75,Marcel
15 a,Zemp Thomas *,54.50,*
15 d,Moos Christoph,54.50,Christoph
15 g,Reichmuth Armin *,54.50,*
15 j,Hurschler Adrian,54.50,Adrian
13 h,Gloggner Philipp ***,55.00,***
14 b,Zimmermann Martin *,54.75,*
14 e,Keller Markus *,54.75,*
14 h,Schuler Daniel,54.75,Daniel
14 k,Zimmermann Daniel *,54.75,*
