place,name,points,level
1,Zwyssig Raphael ***,59.00,***
4 a,Giger Urs *,57.50,*
5 b,Fejzaj Naim **,57.25,**
6 c,Koch Thomas,57.00,Thomas
7 a,Bösch Daniel ***,56.75,***
7 d,Schneider Domenic **,56.75,**
8 a,Kuster Thomas *,56.50,*
8 d,Frick Andreas *,56.50,*
Appe,ll,,ll
2,Bless Michael ***,58.25,***
4 b,Schläpfer Markus **,57.50,**
6 a,Bernold Christian **,57.00,**
6 d,Roth Martin *,57.00,*
7 b,Burkhalter Stefan ***,56.75,***
7 e,Bickel Roman (1998) *,56.75,*
8 b,Coray Beda *,56.50,*
8 e,Horner Peter **,56.50,**
3,Hersche Martin **,58.00,**
5 a,Leuppi Samir **,57.25,**
6 b,Fässler Andreas **,57.00,**
6 e,Rychen Roger **,57.00,**
7 c,Kuster Marcel **,56.75,**
7 f,Oertle Daniel,56.75,Daniel
8 c,Elmer Adrian,56.50,Adrian
8 f,Schneider Mario **,56.50,**
8 g,Schläpfer Matthias *,56.50,*
10 a,Junker Nik,56.00,Nik
10 d,Rüegg Fabian *,56.00,*
11 b,Landolt Reto *,55.75,*
11 e,Schlegel Reto *,55.75,*
11 h,Koch Reto,55.75,Reto
12 c,Breitenmoser Manuel,55.50,Manuel
12 f,Harder Benj,55.50,Benj
12 i,Raymann David *,55.50,*
Appe,ll,,ll
9 a,Vestner Bruno *,56.25,*
10 b,Korrodi Paul *,56.00,*
10 e,Wey Nicola *,56.00,*
11 c,Marty Jaime (2000),55.75,(2000)
11 f,Straub Robin *,55.75,*
12 a,Manser Bruno *,55.50,*
12 d,Elmer Daniel *,55.50,*
12 g,Koller Martin *,55.50,*
12 j,Hersche Daniel,55.50,Daniel
9 b,Güntensperger Marcel *,56.25,*
10 c,Oertig Dominik **,56.00,**
11 a,Good Marco *,55.75,*
11 d,Poltera Andrin (1999),55.75,(1999)
11 g,Wittenwiler Roman (1998),55.75,(1998)
12 b,Oertig Adrian **,55.50,**
12 e,Fuster Sepp,55.50,Sepp
