place,name,points,level
1,Schneider Domenic ***,58.25,***
3 b,Leuppi Samir ***,57.75,***
4 b,Funk Nicola *,57.50,*
5 c,Arztmann Beda **,57.25,**
6 c,Schuler Martin *,57.00,*
6 f,Biäsch Christian *,57.00,*
7 b,Nötzli Reto ***,56.75,***
7 e,Bürgler Patrick *,56.75,*
2,Hegner Ueli *,58.00,*
3 c,Lehmann Philipp *,57.75,*
5 a,Lanter Christian *,57.25,*
6 a,Krähenbühl Tobias ***,57.00,***
6 d,Rychen Roger ***,57.00,***
6 g,Burkhard Tobias,57.00,Tobias
7 c,Wild Thomas,56.75,Thomas
7 f,Blaser Christian **,56.75,**
3 a,Orlik Armon ***,57.75,***
4 a,Kindlimann Fabian ***,57.50,***
5 b,Schnurrenberger Roman **,57.25,**
6 b,Vollenweider Jeremy **,57.00,**
6 e,Leuppi Karim *,57.00,*
7 a,Riget Florian *,56.75,*
7 d,Wey Nicola *,56.75,*
8 a,Reichmuth Beat,56.50,Beat
8 b,Rüegg Patrick,56.50,Patrick
8 e,Kuster Thomas *,56.50,*
8 h,Hauser Simon,56.50,Simon
9 b,Keller Manuel *,56.25,*
10 b,Signer Andy (2003) *,56.00,*
10 e,Burkhalter Thomas (2003) *,56.00,*
10 h,Fuster Sepp *,56.00,*
11 c,Wettstein Daniel *,55.75,*
11 f,Elmer Adrian *,55.75,*
8 c,Oettli Silvio *,56.50,*
8 f,Krähenbühl Lukas *,56.50,*
8 i,Good Marco *,56.50,*
9 c,Dändliker Shane **,56.25,**
10 c,Schwyn Adrian *,56.00,*
10 f,Schmidlin Tobias *,56.00,*
11 a,Schweizer Christof *,55.75,*
11 d,Schläpfer Matthias *,55.75,*
11 g,Schmid Dominik **,55.75,**
8 d,Odermatt Michi,56.50,Michi
8 g,Kolb This (2003) *,56.50,*
9 a,Galli Cedric,56.25,Cedric
10 a,Ziegler Andreas,56.00,Andreas
10 d,Kessler Joel *,56.00,*
10 g,Kurmann Patrick (2003),56.00,(2003)
11 b,Winzeler Simon,55.75,Simon
11 e,Heierli Pascal *,55.75,*
11 h,Plüer Fabian (2003),55.75,(2003)
11 i,Landolt Reto *,55.75,*
11 l,Götti Samuel,55.75,Samuel
12 b,Peter Philipp,55.50,Philipp
12 e,Koller Fabian *,55.50,*
12 h,Kiener Raphael,55.50,Raphael
12 k,Battaglia Ursin **,55.50,**
13 c,Straub Paul,55.25,Paul
13 f,Lusti Remo,55.25,Remo
13 i,Kühne Cyrill (2004),55.25,(2004)
11 j,Hobi Ignaz *,55.75,*
11 m,Gosswiler Livio *,55.75,*
12 c,Nüesch Sandro (2005),55.50,(2005)
12 f,Schnyder Christian,55.50,Christian
